============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.01
  process_std       = 0.0
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.756973e-01         -326.1118
     1      3.815589e-01         -618.2445
     2      3.939164e-01          271.6267
     3      3.973877e-01          496.1125
     4      3.973028e-01          506.2005
     5      3.975628e-01          515.2994
     6      3.962573e-01          548.0335
     7      3.916575e-01          534.1043
     8      3.877506e-01          546.3768
     9      3.867269e-01          559.8089
    10      3.835008e-01          556.0478
    11      3.829167e-01          561.3331
    12      3.815879e-01          561.2940
    13      3.807884e-01          567.5302
    14      3.795842e-01          567.7593
    15      3.814496e-01          563.2251
    16      3.820272e-01          559.2674
    17      3.841341e-01          544.9638
    18      3.864133e-01          541.2803
    19      3.897943e-01          548.5734
    20      3.951192e-01          554.0480
    21      4.013377e-01          542.3865
    22      4.066320e-01          525.9003
    23      4.135646e-01          537.5446
    24      4.206877e-01          529.6851
    25      4.326161e-01          535.5854
    26      4.377406e-01          509.5015
    27      4.452335e-01          506.2509
    28      4.541096e-01          523.1903
    29      4.632807e-01          522.1290
    30      4.777247e-01          529.1581
    31      4.849443e-01          505.2512
    32      4.908331e-01          499.0885
    33      5.031034e-01          517.7311
    34      5.124277e-01          525.1848
    35      5.187656e-01          508.0741
    36      5.287376e-01          528.3414
    37      5.460770e-01          521.2034
    38      5.604882e-01          502.4474
    39      5.678717e-01          483.3230
    40      5.669485e-01          591.3421
    41      5.697808e-01          610.3664
    42      5.703265e-01          613.7057
    43      5.715209e-01          617.8627
    44      5.715499e-01          616.9512
    45      5.719217e-01          617.6262
    46      5.733043e-01          618.8606
    47      5.754327e-01          619.7456
    48      5.734286e-01          618.2567
    49      5.767497e-01          614.2867
    50      5.761557e-01          618.5162
    51      5.773700e-01          618.7225
    52      5.789325e-01          620.5364
    53      5.781677e-01          619.8287
    54      5.787241e-01          618.8680
    55      5.786020e-01          619.9142
    56      5.794275e-01          618.1954
    57      5.794290e-01          619.7380
    58      5.787491e-01          621.4882
    59      5.774871e-01          620.6937
    60      5.784585e-01          621.9729
    61      5.789124e-01          621.9130
    62      5.811445e-01          623.5809
    63      5.824130e-01          624.6635
    64      5.834681e-01          623.5895
    65      5.831762e-01          623.2805
    66      5.825732e-01          625.2405
    67      5.834846e-01          624.8901
    68      5.846041e-01          623.2460
    69      5.859426e-01          624.5894
    70      5.846238e-01          624.2748
    71      5.857731e-01          625.6028
    72      5.878289e-01          623.8238
    73      5.868243e-01          620.9558
    74      5.873159e-01          623.5601
    75      5.882384e-01          622.4135
    76      5.881840e-01          622.6691
    77      5.886802e-01          622.5898
    78      5.889742e-01          624.9473
    79      5.906748e-01          626.7744
    80      5.909451e-01          622.6578
    81      5.912234e-01          623.3195
    82      5.906718e-01          626.1981
    83      5.907895e-01          624.2703
    84      5.896252e-01          625.2146
    85      5.905651e-01          626.7269
    86      5.895087e-01          626.7049
    87      5.887176e-01          625.2578
    88      5.912884e-01          623.1451
    89      5.897991e-01          623.7708
    90      5.930014e-01          623.4376
    91      5.906729e-01          623.3121
    92      5.910461e-01          622.9865
    93      5.903041e-01          625.5944
    94      5.896562e-01          626.5088
    95      5.900527e-01          627.7241
    96      5.903301e-01          629.1829
    97      5.904728e-01          629.0792
    98      5.915992e-01          629.2459
    99      5.931021e-01          628.9473
   100      5.937155e-01          628.4731
   101      5.950232e-01          628.1885
   102      5.951292e-01          625.1649
   103      5.956380e-01          628.4291
   104      5.935785e-01          624.0099
   105      5.933149e-01          626.5792
