============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.01
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      5.303954e-02          683.9165
     1      9.714359e-02          716.4750
     2      1.100305e-01          753.7878
     3      1.044780e-01          770.6100
     4      1.249245e-01          764.9665
     5      1.357743e-01          766.0741
     6      1.435825e-01          777.0289
     7      1.407804e-01          775.0266
     8      1.499078e-01          763.8501
     9      1.621705e-01          760.2924
    10      1.412533e-01          772.3379
    11      1.529792e-01          767.7352
    12      1.758118e-01          770.9194
    13      1.942379e-01          761.4066
    14      2.170516e-01          745.1327
    15      2.089751e-01          765.0656
    16      2.237617e-01          771.5935
    17      2.348805e-01          768.1716
    18      2.504905e-01          769.0147
    19      2.613925e-01          773.1324
    20      2.700216e-01          762.4676
    21      2.630209e-01          740.1177
    22      2.873866e-01          740.9733
    23      3.083048e-01          725.8412
    24      3.199343e-01          755.8409
    25      3.240024e-01          757.6426
    26      3.260233e-01          761.0079
    27      3.295413e-01          754.3246
    28      3.336445e-01          775.3937
    29      3.408836e-01          771.4447
    30      3.477910e-01          778.9486
    31      3.608404e-01          776.7318
    32      3.675646e-01          763.4224
    33      3.774450e-01          760.2318
    34      3.854996e-01          770.8008
    35      3.917892e-01          762.1075
    36      4.059591e-01          646.6799
    37      4.617188e-01          678.7859
    38      4.935419e-01          702.5509
    39      5.150898e-01          732.0095
    40      5.177185e-01          757.6410
    41      5.193164e-01          757.3919
    42      5.201256e-01          763.5399
    43      5.216371e-01          757.6763
    44      5.234337e-01          756.6472
    45      5.249353e-01          766.9785
    46      5.261964e-01          774.9824
    47      5.270687e-01          762.0670
    48      5.277056e-01          767.7246
    49      5.288102e-01          764.9283
    50      5.299543e-01          767.6908
    51      5.311168e-01          763.7759
    52      5.329391e-01          756.2837
    53      5.349355e-01          760.9764
    54      5.363943e-01          777.0126
    55      5.379128e-01          763.0530
    56      5.396775e-01          767.0931
    57      5.408350e-01          771.8948
    58      5.422630e-01          761.6722
    59      5.433228e-01          769.1049
    60      5.440090e-01          764.9083
    61      5.452273e-01          772.2223
    62      5.463478e-01          769.2975
    63      5.470398e-01          770.1589
    64      5.478526e-01          772.1738
    65      5.489380e-01          762.6031
    66      5.503459e-01          766.3214
    67      5.518667e-01          761.3257
    68      5.530419e-01          762.6080
    69      5.541904e-01          766.3063
    70      5.558495e-01          763.7181
    71      5.573441e-01          765.1555
    72      5.593504e-01          771.8555
    73      5.616142e-01          757.5949
    74      5.632864e-01          762.7909
    75      5.648136e-01          770.9299
    76      5.658191e-01          763.2695
    77      5.664238e-01          758.8444
    78      5.670579e-01          763.3080
    79      5.678471e-01          767.4457
    80      5.686807e-01          773.5293
    81      5.692015e-01          770.2939
    82      5.705936e-01          764.8008
    83      5.722157e-01          765.2692
    84      5.733556e-01          771.9149
    85      5.744722e-01          771.1162
    86      5.752343e-01          763.4797
    87      5.760811e-01          764.9213
    88      5.776410e-01          763.9052
    89      5.792219e-01          766.9776
    90      5.803231e-01          775.8589
    91      5.806684e-01          761.1414
    92      5.815542e-01          768.5259
    93      5.823172e-01          770.1807
    94      5.828087e-01          757.8571
    95      5.836115e-01          771.8729
    96      5.844349e-01          765.1461
    97      5.857275e-01          754.9884
    98      5.863953e-01          767.6310
    99      5.871325e-01          766.2081
   100      5.876532e-01          760.4770
   101      5.891494e-01          762.4066
   102      5.906136e-01          762.7628
   103      5.917435e-01          767.2861
   104      5.926362e-01          756.1897
   105      5.930434e-01          762.9369
   106      5.930866e-01          765.6989
   107      5.934431e-01          769.7308
   108      5.941991e-01          758.4013
   109      5.946591e-01          766.9554
   110      5.951924e-01          764.8955
   111      5.957714e-01          763.5667
   112      5.960962e-01          761.4657
   113      5.969284e-01          763.1971
   114      5.978013e-01          768.6846
   115      5.985158e-01          762.9219
   116      5.992144e-01          766.1837
   117      6.000808e-01          761.5065
   118      6.005356e-01          755.2732
   119      6.006005e-01          763.2052
   120      6.005530e-01          760.1757
   121      6.012435e-01          767.8668
   122      6.018544e-01          757.1426
   123      6.020227e-01          757.9680
   124      6.019781e-01          763.8829
   125      6.026435e-01          751.0678
   126      6.028943e-01          768.4920
   127      6.036574e-01          766.8347
   128      6.040379e-01          763.4583
   129      6.044657e-01          768.0883
   130      6.052266e-01          763.1859
   131      6.051075e-01          771.4867
   132      6.058736e-01          760.2479
   133      6.065683e-01          759.7336
   134      6.065618e-01          768.2543
   135      6.069901e-01          768.6859
   136      6.074474e-01          772.6431
   137      6.078162e-01          758.9813
   138      6.073105e-01          765.4678
   139      6.077774e-01          766.4276
   140      6.083145e-01          759.6750
   141      6.090879e-01          761.8889
   142      6.098542e-01          766.0946
   143      6.100522e-01          756.0819
   144      6.099011e-01          760.5199
   145      6.101168e-01          772.5338
   146      6.098977e-01          766.8837
   147      6.101530e-01          768.2178
   148      6.105812e-01          765.0853
   149      6.113456e-01          766.5164
   150      6.117969e-01          761.4833
   151      6.124049e-01          771.6270
   152      6.133557e-01          765.4029
   153      6.137906e-01          764.1954
   154      6.143026e-01          773.0073
