============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.01
  process_std       = 0.02
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.384311e-01          549.0660
     1      9.372413e-01          715.9426
     2      9.309263e-01          686.1629
     3      9.302779e-01          733.3354
     4      9.305327e-01          742.0052
     5      9.333482e-01          745.7957
     6      9.488704e-01          733.0653
     7      9.483376e-01          746.5068
     8      9.482188e-01          703.2833
     9      9.473259e-01          716.7650
    10      9.474974e-01          746.8128
    11      9.483306e-01          746.8455
    12      9.479676e-01          746.0744
    13      9.475474e-01          745.1086
    14      9.473543e-01          752.4628
    15      9.475555e-01          748.3411
    16      9.465321e-01          752.1093
    17      9.479530e-01          763.4832
    18      9.483601e-01          745.5591
    19      9.511009e-01          733.0088
    20      9.524255e-01          744.0200
    21      9.536467e-01          751.7130
    22      9.553028e-01          742.0807
    23      9.556729e-01          743.5864
    24      9.579800e-01          747.8057
    25      9.599606e-01          746.3307
    26      9.616196e-01          754.4268
    27      9.632446e-01          746.5505
    28      9.640764e-01          745.4731
    29      9.646422e-01          748.3669
    30      9.649451e-01          745.9565
    31      9.670351e-01          745.8112
    32      9.688795e-01          751.9430
    33      9.710866e-01          749.2495
    34      9.732326e-01          747.9374
    35      9.739701e-01          737.6190
    36      9.753889e-01          754.7454
    37      9.760487e-01          753.2537
    38      9.767046e-01          748.7502
    39      9.786031e-01          750.9566
    40      9.788396e-01          762.7523
    41      9.792544e-01          759.3587
    42      9.797165e-01          761.7025
    43      9.800205e-01          759.1097
    44      9.805468e-01          764.6318
    45      9.811330e-01          767.8637
    46      9.814879e-01          766.9910
    47      9.821840e-01          759.6578
    48      9.827344e-01          764.5085
    49      9.831631e-01          765.0449
    50      9.839984e-01          762.7238
    51      9.847295e-01          763.2639
    52      9.848191e-01          761.6830
    53      9.857543e-01          760.5360
    54      9.867144e-01          764.0179
    55      9.879913e-01          761.2608
    56      9.881836e-01          761.6617
    57      9.887986e-01          759.8392
    58      9.894809e-01          762.0928
    59      9.897406e-01          762.0627
    60      9.901624e-01          764.7535
    61      9.907321e-01          761.9219
    62      9.916270e-01          759.5373
    63      9.920030e-01          761.3329
    64      9.924971e-01          768.4970
    65      9.932070e-01          765.1429
    66      9.934528e-01          764.0062
    67      9.947167e-01          758.4877
    68      9.962053e-01          768.3466
    69      9.970631e-01          764.8107
    70      9.978261e-01          760.8533
    71      9.987483e-01          767.4312
    72      9.991198e-01          764.4435
    73      1.000005e+00          762.5090
    74      1.000564e+00          760.4510
    75      1.001554e+00          765.5322
    76      1.002443e+00          762.8322
    77      1.003242e+00          763.3302
    78      1.004027e+00          765.2262
    79      1.004701e+00          763.3471
    80      1.005716e+00          766.3380
    81      1.006134e+00          763.1666
    82      1.006974e+00          764.2131
    83      1.007687e+00          765.2708
    84      1.008635e+00          762.7812
    85      1.009194e+00          769.6552
    86      1.009465e+00          762.6760
    87      1.009931e+00          764.5048
    88      1.010442e+00          765.6160
    89      1.011322e+00          763.1395
    90      1.011560e+00          763.6434
    91      1.012219e+00          770.0269
    92      1.012515e+00          767.0986
    93      1.012960e+00          772.4111
    94      1.013742e+00          769.4197
    95      1.014545e+00          771.1840
    96      1.015370e+00          765.9105
    97      1.015708e+00          766.4237
    98      1.016145e+00          772.2341
    99      1.016361e+00          761.6789
   100      1.016836e+00          770.9882
   101      1.017154e+00          772.3498
   102      1.017317e+00          768.6497
   103      1.017349e+00          770.8419
   104      1.017041e+00          767.2679
   105      1.017255e+00          768.4864
   106      1.017898e+00          766.2686
   107      1.018216e+00          766.7229
   108      1.018610e+00          764.2393
   109      1.019729e+00          768.4385
   110      1.020074e+00          773.9365
   111      1.020272e+00          765.0803
   112      1.020370e+00          768.4786
   113      1.020229e+00          762.9099
   114      1.020208e+00          767.4230
   115      1.020002e+00          768.4109
   116      1.020199e+00          769.4877
   117      1.020415e+00          768.4384
   118      1.020571e+00          767.1550
   119      1.021157e+00          767.6560
   120      1.021333e+00          772.9346
   121      1.021075e+00          761.7963
   122      1.021314e+00          773.6624
   123      1.021537e+00          770.3060
   124      1.021094e+00          767.8010
   125      1.021181e+00          760.5201
   126      1.021197e+00          769.6461
   127      1.021082e+00          763.6346
   128      1.020860e+00          769.1476
   129      1.020932e+00          768.6484
   130      1.020774e+00          765.0673
   131      1.020605e+00          764.9161
   132      1.019913e+00          769.5572
   133      1.019844e+00          768.6461
   134      1.019938e+00          762.4390
   135      1.019928e+00          762.5264
   136      1.019867e+00          772.8782
   137      1.020033e+00          770.5177
   138      1.019747e+00          769.6603
   139      1.019332e+00          767.1404
   140      1.019729e+00          769.8231
   141      1.019331e+00          772.9244
   142      1.019815e+00          773.3298
   143      1.019767e+00          770.7957
   144      1.019171e+00          767.2300
   145      1.018960e+00          764.3270
   146      1.018716e+00          766.1245
   147      1.018487e+00          765.3203
   148      1.018396e+00          765.3139
   149      1.018309e+00          770.9091
   150      1.016654e+00          766.7892
   151      1.016475e+00          769.7822
   152      1.016149e+00          770.8565
   153      1.015389e+00          764.9489
   154      1.015522e+00          763.7650
   155      1.015493e+00          771.1915
   156      1.015174e+00          770.8593
   157      1.014817e+00          769.0983
   158      1.014109e+00          763.2428
   159      1.014117e+00          769.1033
   160      1.013872e+00          772.7959
   161      1.013755e+00          770.9832
   162      1.013664e+00          761.0012
   163      1.013465e+00          769.0649
   164      1.013201e+00          773.6926
   165      1.013046e+00          769.2993
   166      1.012749e+00          769.0995
   167      1.012265e+00          763.6331
   168      1.012317e+00          769.8602
   169      1.012447e+00          769.2845
   170      1.012239e+00          767.9859
   171      1.012108e+00          768.0095
   172      1.012209e+00          766.4191
   173      1.012089e+00          770.8122
   174      1.011979e+00          770.0743
   175      1.011734e+00          769.1752
   176      1.010731e+00          772.0897
   177      1.010667e+00          774.7357
   178      1.010479e+00          767.2573
   179      1.011081e+00          770.0895
   180      1.011970e+00          769.3335
   181      1.011928e+00          770.3597
   182      1.011535e+00          768.9071
   183      1.011135e+00          772.4270
   184      1.011054e+00          766.5662
   185      1.010733e+00          767.6178
   186      1.010612e+00          769.3782
   187      1.010665e+00          773.0924
   188      1.010737e+00          771.1051
   189      1.011100e+00          763.0846
   190      1.011035e+00          762.5714
   191      1.011166e+00          765.9542
   192      1.011259e+00          765.6068
   193      1.011773e+00          768.2158
   194      1.011763e+00          769.2624
   195      1.011875e+00          769.6204
   196      1.011880e+00          762.4729
   197      1.011732e+00          772.0443
   198      1.011721e+00          769.0584
   199      1.011889e+00          770.1327
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 1.011889e+00
  Final  log-likelihood   = 770.1327
  Best   log-likelihood   = 774.7357  (epoch 177)
============================================================
