============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.01
  process_std       = 0.0
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      7.323039e-02          456.3734
     1      1.470075e-01          -31.4941
     2      1.803293e-01          -65.0884
     3      1.646052e-01          508.9026
     4      1.563494e-01          541.6032
     5      1.424259e-01          617.0621
     6      1.538982e-01          569.2194
     7      1.637614e-01          556.1974
     8      1.663444e-01          609.0585
     9      1.750697e-01          591.4879
    10      1.859725e-01          587.4459
    11      1.938535e-01          582.4217
    12      2.022036e-01          599.8979
    13      2.123820e-01          582.6118
    14      2.280923e-01          572.1020
    15      2.434119e-01          582.9932
    16      2.606639e-01          601.0567
    17      2.766545e-01          594.1181
    18      2.957996e-01          595.2927
    19      3.180450e-01          586.5577
    20      3.353732e-01          609.7205
    21      3.076589e-01          532.1185
    22      3.691194e-01          484.4758
    23      4.122033e-01          344.1102
    24      4.273276e-01          308.1334
    25      4.173487e-01          455.2832
    26      4.030491e-01          488.0396
    27      3.968224e-01          544.9341
    28      3.975180e-01          604.4128
    29      3.984397e-01          623.6625
    30      3.996237e-01          626.6898
    31      4.027400e-01          634.8187
    32      4.082902e-01          634.7153
    33      4.155957e-01          635.3035
    34      4.222286e-01          636.6746
    35      4.304827e-01          635.6221
    36      4.395407e-01          637.7307
    37      4.429272e-01          623.1398
    38      4.494661e-01          641.0864
    39      4.595497e-01          628.6682
    40      4.607255e-01          669.3186
    41      4.607596e-01          647.7906
    42      4.606946e-01          666.7981
    43      4.609838e-01          674.5480
    44      4.608615e-01          671.6517
    45      4.613177e-01          674.8723
    46      4.618663e-01          673.9805
    47      4.604974e-01          662.9767
    48      4.612683e-01          672.8652
    49      4.621055e-01          674.1386
    50      4.627726e-01          672.1132
    51      4.634625e-01          672.6858
    52      4.644873e-01          672.7623
    53      4.648422e-01          671.3682
    54      4.650276e-01          664.7037
    55      4.660285e-01          676.3162
    56      4.699634e-01          192.2605
    57      4.763630e-01          590.9117
    58      4.788455e-01          658.0582
    59      4.787497e-01          665.6813
    60      4.778349e-01          667.8808
    61      4.769368e-01          668.4902
    62      4.714719e-01          639.5966
    63      4.704126e-01          676.1133
    64      4.704502e-01          662.0820
    65      4.701173e-01          671.3177
    66      4.704669e-01          667.3260
    67      4.711451e-01          672.6263
    68      4.720864e-01          671.7181
    69      4.728748e-01          670.4874
    70      4.737395e-01          673.7253
    71      4.743841e-01          670.1058
    72      4.751805e-01          674.9203
    73      4.760230e-01          671.3917
    74      4.769223e-01          672.0283
    75      4.757705e-01          663.1878
    76      4.755966e-01          486.7456
    77      4.762180e-01          671.1305
    78      4.763113e-01          672.4984
    79      4.721773e-01          648.7940
    80      4.716522e-01          674.7822
    81      4.720359e-01          672.2150
    82      4.727406e-01          668.6942
    83      4.734412e-01          674.1389
    84      4.743748e-01          672.4666
    85      4.752732e-01          674.7990
    86      4.759467e-01          671.5966
    87      4.767753e-01          673.7269
    88      4.775106e-01          675.2332
    89      4.776227e-01          665.3342
    90      4.780749e-01          676.2421
    91      4.785251e-01          673.1669
    92      4.787140e-01          675.0381
    93      4.791536e-01          669.5179
    94      4.798214e-01          676.9144
    95      4.800040e-01          670.1388
    96      4.769027e-01          624.6890
    97      4.767224e-01          673.4883
    98      4.765905e-01          672.8824
    99      4.766230e-01          674.2989
   100      4.769880e-01          673.1777
   101      4.775256e-01          675.5231
   102      4.782297e-01          676.5788
   103      4.787938e-01          674.9515
   104      4.795032e-01          672.0305
   105      4.785905e-01          654.6566
   106      4.788811e-01          674.5173
   107      4.792402e-01          676.8627
   108      4.796593e-01          676.3524
   109      4.802644e-01          674.9880
   110      4.807512e-01          672.5444
   111      4.814061e-01          673.9636
   112      4.818808e-01          672.3441
   113      4.826301e-01          675.8167
   114      4.835620e-01          675.1201
   115      4.843255e-01          674.6110
   116      4.850329e-01          677.1854
   117      4.858531e-01          674.5629
   118      4.888054e-01          208.8337
   119      4.921086e-01          642.8743
   120      4.939264e-01          664.7803
   121      4.950706e-01          669.3195
   122      4.954177e-01          667.1336
   123      4.961465e-01          669.4661
   124      4.965677e-01          662.7954
   125      4.971697e-01          674.7159
   126      4.945886e-01          561.5979
   127      4.950421e-01          670.3724
   128      4.960760e-01          667.9897
   129      4.967167e-01          665.9695
   130      4.976699e-01          671.7997
   131      4.986061e-01          673.5760
   132      4.995170e-01          671.2662
   133      5.012211e-01          662.5720
   134      5.022293e-01          667.6255
   135      5.032737e-01          670.1837
   136      5.040594e-01          672.9202
   137      5.047599e-01          669.7367
   138      5.056061e-01          670.6656
   139      5.066198e-01          672.1719
   140      5.071931e-01          658.2776
   141      5.079919e-01          672.4941
   142      5.085917e-01          659.4791
   143      5.094632e-01          674.0348
   144      5.096822e-01          662.8755
   145      5.100713e-01          669.6961
   146      5.105919e-01          670.9911
   147      5.109473e-01          672.3997
   148      5.115018e-01          675.9978
   149      5.121062e-01          674.6694
   150      5.126836e-01          672.9545
   151      5.128963e-01          670.4544
   152      5.137063e-01          674.7660
   153      5.125905e-01          621.1579
   154      5.135775e-01          671.4095
