============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.005
  process_std       = 0.01
  N_ens             = 100
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.411119e-01          595.7669
     1      9.398683e-01          620.4124
     2      9.393153e-01          702.0339
     3      9.407463e-01          724.9755
     4      9.411392e-01          679.2869
     5      9.406437e-01          667.1208
     6      9.405611e-01          675.8727
     7      9.414093e-01          698.2990
     8      9.421286e-01          684.6688
     9      9.415504e-01          684.1779
    10      9.413738e-01          697.1226
    11      9.431117e-01          706.6041
    12      9.417937e-01          696.5475
    13      9.417259e-01          686.1895
    14      9.417599e-01          703.5158
    15      9.433703e-01          721.1385
    16      9.437681e-01          724.0069
    17      9.455251e-01          722.7343
    18      9.453791e-01          686.9618
    19      9.505837e-01          570.8608
    20      9.555263e-01          694.7957
    21      9.578203e-01          556.2716
    22      9.558014e-01          197.3574
    23      9.554842e-01          583.2415
    24      9.552552e-01          705.7851
    25      9.555326e-01          725.3677
    26      9.556584e-01          746.5410
    27      9.560300e-01          743.9211
    28      9.562412e-01          752.6751
    29      9.564408e-01          749.8443
    30      9.566085e-01          752.7170
    31      9.569754e-01          748.0769
    32      9.572985e-01          752.6041
    33      9.575047e-01          750.3045
    34      9.578502e-01          751.7889
    35      9.583341e-01          743.1307
    36      9.589760e-01          751.2454
    37      9.592707e-01          753.1592
    38      9.598308e-01          752.6279
    39      9.602512e-01          746.9033
    40      9.603650e-01          754.3925
    41      9.604207e-01          750.7244
    42      9.604778e-01          753.7986
    43      9.604926e-01          755.9413
    44      9.605945e-01          757.1292
    45      9.607397e-01          760.4636
    46      9.608755e-01          756.6265
    47      9.609344e-01          744.5677
    48      9.610516e-01          757.0012
    49      9.611308e-01          758.1097
    50      9.613304e-01          753.6550
    51      9.615083e-01          752.9736
    52      9.615730e-01          750.6841
    53      9.616939e-01          747.8051
    54      9.617330e-01          757.2856
    55      9.617690e-01          747.2034
    56      9.619064e-01          757.0923
    57      9.620384e-01          749.6884
    58      9.621862e-01          751.7669
    59      9.623136e-01          753.9789
    60      9.624573e-01          753.6158
    61      9.625168e-01          752.1319
    62      9.625905e-01          747.6406
    63      9.627267e-01          755.6418
    64      9.628476e-01          758.9534
    65      9.629624e-01          752.1722
    66      9.630681e-01          755.5549
    67      9.631194e-01          749.8073
    68      9.631883e-01          760.5047
    69      9.633904e-01          752.8467
    70      9.635116e-01          747.6277
    71      9.636737e-01          754.0838
    72      9.638582e-01          753.0230
    73      9.640299e-01          755.0832
    74      9.641318e-01          750.0790
    75      9.642408e-01          749.4642
    76      9.642607e-01          752.5450
    77      9.643811e-01          749.1072
    78      9.645579e-01          754.6711
    79      9.646335e-01          756.1013
    80      9.647218e-01          752.7319
    81      9.648858e-01          755.6063
    82      9.650424e-01          749.8410
    83      9.651588e-01          747.8175
    84      9.652250e-01          753.4243
    85      9.653149e-01          753.0073
    86      9.654701e-01          748.9758
    87      9.655582e-01          744.5507
    88      9.656938e-01          755.0779
    89      9.658632e-01          749.0920
    90      9.659570e-01          749.1969
    91      9.660665e-01          755.5850
    92      9.662657e-01          754.5999
    93      9.664270e-01          753.7200
    94      9.665696e-01          748.4379
    95      9.666405e-01          750.6287
    96      9.667490e-01          747.1829
    97      9.668841e-01          747.8874
    98      9.669682e-01          755.6636
    99      9.671156e-01          746.2371
   100      9.672697e-01          751.6232
   101      9.673811e-01          754.4456
   102      9.674481e-01          747.4133
   103      9.676093e-01          754.6146
   104      9.677059e-01          752.3301
   105      9.677944e-01          750.4141
   106      9.679664e-01          750.9717
   107      9.681571e-01          741.4687
   108      9.682691e-01          750.5120
   109      9.683676e-01          745.7043
   110      9.685482e-01          753.3307
   111      9.686385e-01          746.4166
   112      9.688198e-01          753.7113
   113      9.689698e-01          736.4610
   114      9.691052e-01          749.7283
   115      9.692012e-01          754.0461
   116      9.692760e-01          748.7570
   117      9.694605e-01          752.4990
   118      9.695352e-01          742.9388
   119      9.695969e-01          746.8525
   120      9.697416e-01          754.8538
   121      9.699484e-01          742.2733
   122      9.701693e-01          757.1152
   123      9.703739e-01          749.2873
   124      9.704841e-01          745.5055
   125      9.705392e-01          739.4208
   126      9.706812e-01          751.5671
   127      9.708171e-01          744.7288
   128      9.709122e-01          745.9238
   129      9.710814e-01          749.5184
   130      9.712368e-01          751.0327
   131      9.712573e-01          749.0894
   132      9.713848e-01          752.5277
   133      9.715157e-01          747.9413
   134      9.716744e-01          742.0941
   135      9.718480e-01          747.3450
   136      9.719739e-01          754.6612
   137      9.720808e-01          749.9896
   138      9.722391e-01          744.8506
   139      9.723369e-01          751.4526
   140      9.724241e-01          741.5438
   141      9.725151e-01          751.7629
   142      9.727367e-01          745.6724
   143      9.729205e-01          754.1652
   144      9.730922e-01          754.2247
   145      9.732144e-01          746.5715
   146      9.733061e-01          747.8105
   147      9.734671e-01          740.8308
   148      9.736005e-01          749.1949
   149      9.737604e-01          752.0240
   150      9.739053e-01          747.4852
   151      9.739891e-01          753.6339
   152      9.741044e-01          753.8406
   153      9.741848e-01          744.6085
   154      9.743177e-01          748.1823
   155      9.744567e-01          746.0640
   156      9.746093e-01          749.8123
   157      9.747282e-01          745.2981
   158      9.748728e-01          744.3151
   159      9.750635e-01          749.3076
   160      9.752133e-01          757.6199
   161      9.753112e-01          750.6312
   162      9.754789e-01          745.4290
   163      9.755916e-01          744.8249
   164      9.756967e-01          756.8514
   165      9.758757e-01          748.7864
   166      9.759871e-01          748.6620
   167      9.761369e-01          751.5543
   168      9.763286e-01          749.6920
   169      9.763962e-01          742.6838
   170      9.765046e-01          746.4065
   171      9.765692e-01          747.5331
   172      9.767125e-01          743.9962
   173      9.769313e-01          752.9373
   174      9.770565e-01          743.4018
   175      9.771433e-01          748.3362
   176      9.772561e-01          756.3982
   177      9.773687e-01          756.7924
   178      9.774606e-01          744.4352
   179      9.775892e-01          749.9179
   180      9.777589e-01          744.6484
   181      9.779992e-01          750.7739
   182      9.781508e-01          752.4616
   183      9.782496e-01          756.4595
   184      9.783487e-01          750.7341
   185      9.784772e-01          747.7693
   186      9.785974e-01          745.7597
   187      9.786696e-01          756.5517
   188      9.787813e-01          748.0387
   189      9.789626e-01          742.3198
   190      9.791210e-01          743.5590
   191      9.792062e-01          745.2187
   192      9.793441e-01          740.8243
   193      9.794761e-01          746.0273
   194      9.796648e-01          746.8826
   195      9.798250e-01          750.4581
   196      9.799679e-01          743.8998
   197      9.800851e-01          747.8946
   198      9.802250e-01          749.3090
   199      9.803436e-01          743.2791
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 9.803436e-01
  Final  log-likelihood   = 743.2791
  Best   log-likelihood   = 760.5047  (epoch 68)
============================================================
