============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.005
  process_std       = 0.02
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      2.052668e-02          757.7350
     1      3.930273e-02          766.2283
     2      5.344197e-02          765.1893
     3      6.883413e-02          765.6969
     4      8.570757e-02          763.1993
     5      9.923551e-02          766.1257
     6      1.092571e-01          763.3813
     7      1.172668e-01          759.9081
     8      1.280373e-01          751.9261
     9      1.363249e-01          758.5470
    10      1.470890e-01          756.7932
    11      1.465880e-01          757.1898
    12      1.457920e-01          755.3423
    13      1.531147e-01          766.0876
    14      1.566262e-01          761.7030
    15      1.676740e-01          767.6704
    16      1.749822e-01          766.4252
    17      1.828046e-01          763.4429
    18      1.894200e-01          756.8083
    19      1.946775e-01          752.9265
    20      1.989190e-01          750.4849
    21      2.064290e-01          751.4644
    22      2.070641e-01          744.4323
    23      2.105885e-01          752.8602
    24      2.161348e-01          762.0793
    25      2.173045e-01          755.9751
    26      2.243217e-01          762.0096
    27      2.312893e-01          757.5579
    28      2.411446e-01          762.9289
    29      2.502985e-01          759.2991
    30      2.608483e-01          751.0001
    31      2.690543e-01          754.8715
    32      2.736073e-01          751.0995
    33      2.798913e-01          747.4169
    34      2.851048e-01          751.0297
    35      2.904721e-01          750.3350
    36      2.895472e-01          762.4628
    37      2.971014e-01          765.8907
    38      3.066348e-01          760.9897
    39      3.109163e-01          757.7802
    40      3.129413e-01          770.9257
    41      3.162366e-01          770.4404
    42      3.195179e-01          774.0555
    43      3.228376e-01          764.1852
    44      3.256019e-01          780.4371
    45      3.253467e-01          781.2633
    46      3.304844e-01          757.0063
    47      3.531283e-01          584.2977
    48      3.612064e-01          713.0796
    49      3.588068e-01          730.0450
    50      3.803536e-01          670.1755
    51      3.768658e-01          718.6700
    52      3.760705e-01          710.2601
    53      3.739750e-01          699.4105
    54      3.712511e-01          726.0306
    55      3.763336e-01          716.6245
    56      3.751478e-01          724.5536
    57      3.746519e-01          709.4160
    58      3.751462e-01          720.9098
    59      3.736974e-01          725.0037
    60      3.750311e-01          720.5903
    61      3.738337e-01          723.1323
    62      3.743186e-01          715.9821
    63      3.747721e-01          734.6904
    64      3.746275e-01          728.3177
    65      3.742990e-01          726.2964
    66      3.735133e-01          727.1844
    67      3.715067e-01          724.2940
    68      3.720976e-01          730.5125
    69      3.742849e-01          727.6113
    70      3.754289e-01          731.6851
    71      3.755658e-01          724.0757
    72      3.766676e-01          731.3133
    73      3.763576e-01          729.9238
    74      3.762619e-01          731.3955
    75      3.764366e-01          718.5325
    76      3.760749e-01          724.3289
    77      3.768017e-01          728.8057
    78      3.768943e-01          729.2109
    79      3.756458e-01          736.6768
    80      3.772036e-01          725.3157
    81      3.757622e-01          726.3140
    82      3.763629e-01          730.8461
    83      3.767654e-01          723.6763
    84      3.764413e-01          726.4445
    85      3.762061e-01          735.3096
    86      3.761868e-01          727.8211
    87      3.750057e-01          720.2670
    88      3.748996e-01          733.0378
    89      3.755052e-01          732.0080
    90      3.751513e-01          728.6343
    91      3.757341e-01          735.9656
    92      3.754658e-01          732.7761
    93      3.742523e-01          736.0455
    94      3.754937e-01          723.1646
    95      3.758267e-01          730.6121
    96      3.759886e-01          731.2844
    97      3.755449e-01          723.7662
    98      3.763059e-01          733.8984
    99      3.762782e-01          728.8852
   100      3.756564e-01          725.4680
   101      3.758660e-01          741.5090
   102      3.767503e-01          733.5068
   103      3.768276e-01          736.9029
   104      3.760994e-01          729.4109
   105      3.765319e-01          734.8651
   106      3.769252e-01          729.8237
   107      3.756612e-01          715.5060
   108      3.754248e-01          731.6504
   109      3.760661e-01          726.6030
   110      3.766134e-01          734.1302
   111      3.763945e-01          727.7583
   112      3.761697e-01          737.0056
   113      3.756374e-01          722.9330
   114      3.759266e-01          733.5261
   115      3.759854e-01          739.5114
   116      3.763377e-01          737.9399
   117      3.761835e-01          732.0852
   118      3.761882e-01          725.6603
   119      3.759739e-01          730.4836
   120      3.765271e-01          739.0823
   121      3.765150e-01          724.5460
   122      3.768167e-01          740.2770
   123      3.769863e-01          730.3451
   124      3.769241e-01          730.7651
   125      3.770765e-01          732.2949
   126      3.775279e-01          732.7423
   127      3.772677e-01          731.5465
   128      3.769418e-01          728.8810
   129      3.774252e-01          738.5263
   130      3.772790e-01          735.6770
   131      3.777024e-01          734.9928
   132      3.770517e-01          736.7016
   133      3.773814e-01          732.3318
   134      3.781551e-01          727.3396
   135      3.783769e-01          729.2171
   136      3.785433e-01          739.9129
   137      3.784050e-01          738.2106
   138      3.791207e-01          733.5869
   139      3.789596e-01          735.0029
   140      3.788775e-01          731.6368
   141      3.790832e-01          737.5504
   142      3.790588e-01          731.8660
   143      3.782043e-01          735.7266
   144      3.790520e-01          736.3146
   145      3.799825e-01          733.1039
   146      3.796216e-01          730.7928
   147      3.800988e-01          724.6580
   148      3.794934e-01          729.9741
   149      3.800491e-01          731.6137
   150      3.809500e-01          725.4678
   151      3.806368e-01          737.1410
   152      3.810135e-01          736.0296
   153      3.801966e-01          730.4545
   154      3.809044e-01          733.8832
