============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.01
  process_std       = 0.01
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.746719e-01          567.3588
     1      3.722401e-01          565.0983
     2      3.688718e-01          678.1230
     3      3.642429e-01          732.8341
     4      3.652085e-01          738.8193
     5      3.669383e-01          735.0934
     6      3.663622e-01          731.3342
     7      3.681515e-01          735.2137
     8      3.730674e-01          726.9404
     9      3.791622e-01          731.2447
    10      3.819909e-01          741.3811
    11      3.871258e-01          739.5150
    12      3.954754e-01          748.1512
    13      4.003415e-01          745.6760
    14      4.202865e-01          594.0472
    15      4.274920e-01          713.5632
    16      4.302726e-01          723.5848
    17      4.294443e-01          722.0184
    18      4.406762e-01          721.8124
    19      4.408037e-01          726.9377
    20      4.461718e-01          713.6869
    21      4.458119e-01          728.9673
    22      4.511865e-01          743.7959
    23      4.548547e-01          721.5331
    24      4.561703e-01          710.6091
    25      4.539618e-01          727.1268
    26      4.547384e-01          746.9915
    27      4.556380e-01          737.1699
    28      4.667728e-01          749.4137
    29      4.722275e-01          732.8525
    30      4.738666e-01          724.7888
    31      4.744817e-01          747.2986
    32      4.812934e-01          752.7855
    33      4.844810e-01          733.3811
    34      4.878828e-01          742.0239
    35      4.952508e-01          753.2679
    36      4.896199e-01          681.9373
    37      4.875587e-01          663.8726
    38      4.797707e-01          736.3513
    39      4.821393e-01          749.9987
    40      4.830506e-01          752.6510
    41      4.832428e-01          748.7761
    42      4.838212e-01          759.4937
    43      4.846554e-01          756.7501
    44      4.855607e-01          747.9946
    45      4.868819e-01          764.6575
    46      4.881993e-01          758.5615
    47      4.895334e-01          761.6956
    48      4.902546e-01          764.4520
    49      4.910229e-01          755.4535
    50      4.920864e-01          758.3945
    51      4.929732e-01          755.9341
    52      4.945041e-01          753.1127
    53      4.965660e-01          754.3154
    54      4.973395e-01          759.1437
    55      4.981101e-01          753.3628
    56      4.998820e-01          752.8879
    57      5.017461e-01          756.9746
    58      5.033432e-01          751.8527
    59      5.045125e-01          756.6176
    60      5.054042e-01          750.6544
    61      5.062928e-01          740.1791
    62      5.069183e-01          749.1577
    63      5.084836e-01          761.5931
    64      5.099018e-01          753.9532
    65      5.114642e-01          754.0007
    66      5.129511e-01          744.0473
    67      5.146993e-01          747.6934
    68      5.165098e-01          746.2014
    69      5.185868e-01          750.8878
    70      5.202551e-01          751.2072
    71      5.222870e-01          749.5946
    72      5.249095e-01          755.2204
    73      5.284510e-01          741.7449
    74      5.302932e-01          721.2067
    75      5.322860e-01          733.7688
    76      5.335855e-01          740.9808
    77      5.326958e-01          728.9510
    78      5.330231e-01          726.6957
    79      5.331638e-01          744.6855
    80      5.342725e-01          738.2667
    81      5.348890e-01          741.5234
    82      5.360978e-01          728.3001
    83      5.375412e-01          738.6510
    84      5.400254e-01          739.9410
    85      5.435441e-01          743.6543
    86      5.466430e-01          710.6614
    87      5.492266e-01          715.4359
    88      5.502729e-01          729.0853
    89      5.511184e-01          733.0236
    90      5.512338e-01          723.7815
    91      5.515674e-01          718.2651
    92      5.519954e-01          731.9991
    93      5.536634e-01          730.4424
    94      5.540583e-01          724.3742
    95      5.539033e-01          713.6771
    96      5.541133e-01          716.1952
    97      5.545223e-01          721.6987
    98      5.542903e-01          681.1107
    99      5.544604e-01          718.4609
   100      5.542270e-01          730.1333
   101      5.552824e-01          721.7278
   102      5.555558e-01          740.1924
   103      5.568767e-01          723.8001
   104      5.573875e-01          729.1310
   105      5.580614e-01          720.8570
