============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.01
  process_std       = 0.01
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.418586e-01          130.0985
     1      9.357294e-01          532.9786
     2      9.319234e-01          622.1644
     3      9.296332e-01          706.2309
     4      9.273791e-01          707.9437
     5      9.337032e-01          658.5002
     6      9.296281e-01          655.3688
     7      9.278013e-01          677.0358
     8      9.281102e-01          729.2193
     9      9.274635e-01          707.7179
    10      9.271364e-01          721.1596
    11      9.266894e-01          706.2326
    12      9.236404e-01          722.2283
    13      9.254008e-01          735.7406
    14      9.255816e-01          716.3624
    15      9.259457e-01          727.3715
    16      9.250494e-01          729.2727
    17      9.246544e-01          745.7923
    18      9.250859e-01          747.5427
    19      9.260722e-01          743.2858
    20      9.265770e-01          745.2118
    21      9.263926e-01          749.5574
    22      9.261706e-01          741.9265
    23      9.252254e-01          731.5837
    24      9.244863e-01          732.2839
    25      9.252073e-01          745.0201
    26      9.257041e-01          754.6785
    27      9.254854e-01          751.7996
    28      9.256070e-01          751.6282
    29      9.249339e-01          741.4138
    30      9.244639e-01          749.4603
    31      9.248045e-01          745.7391
    32      9.259515e-01          757.7303
    33      9.290965e-01          750.8481
    34      9.304774e-01          734.7080
    35      9.320071e-01          752.4253
    36      9.319732e-01          751.5626
    37      9.326546e-01          757.3729
    38      9.332339e-01          747.5753
    39      9.348662e-01          756.9229
    40      9.358686e-01          759.2634
    41      9.358183e-01          755.1886
    42      9.364816e-01          760.4080
    43      9.369742e-01          757.8675
    44      9.375572e-01          761.3428
    45      9.381683e-01          764.4415
    46      9.384181e-01          762.8806
    47      9.391211e-01          752.4786
    48      9.395835e-01          761.1180
    49      9.402376e-01          761.7477
    50      9.407334e-01          756.9948
    51      9.414597e-01          758.4915
    52      9.418553e-01          754.4043
    53      9.426900e-01          752.0931
    54      9.429011e-01          757.9335
    55      9.443821e-01          756.2894
    56      9.445578e-01          758.5643
    57      9.450660e-01          754.9956
    58      9.457932e-01          757.1088
    59      9.460558e-01          754.4117
    60      9.467421e-01          758.9023
    61      9.472033e-01          756.0383
    62      9.481246e-01          752.6139
    63      9.484201e-01          756.9022
    64      9.491382e-01          762.1922
    65      9.497700e-01          757.4877
    66      9.501376e-01          757.6545
    67      9.507266e-01          751.8191
    68      9.519317e-01          763.6638
    69      9.532089e-01          756.4420
    70      9.537744e-01          750.3630
    71      9.546127e-01          757.9539
    72      9.550918e-01          757.1890
    73      9.557692e-01          755.1929
    74      9.561312e-01          749.9191
    75      9.567260e-01          755.4984
    76      9.575091e-01          754.2572
    77      9.580768e-01          753.5717
    78      9.586424e-01          756.6202
    79      9.588551e-01          755.7150
    80      9.599125e-01          759.1689
    81      9.599715e-01          755.7443
    82      9.606783e-01          755.3597
    83      9.613127e-01          752.6911
    84      9.617988e-01          755.4006
    85      9.623905e-01          760.7488
    86      9.627944e-01          754.2447
    87      9.631698e-01          752.5201
    88      9.636250e-01          757.9520
    89      9.644564e-01          755.5637
    90      9.649025e-01          754.8651
    91      9.656972e-01          761.7796
    92      9.663477e-01          759.5819
    93      9.668182e-01          760.7841
    94      9.676529e-01          757.3796
    95      9.682947e-01          758.3350
    96      9.689206e-01          756.2875
    97      9.694397e-01          754.2813
    98      9.701180e-01          762.8491
    99      9.706237e-01          752.8384
   100      9.713655e-01          759.1915
   101      9.719711e-01          761.0437
   102      9.724213e-01          755.8900
   103      9.731781e-01          761.2883
   104      9.734570e-01          759.1731
   105      9.742097e-01          758.0936
   106      9.747987e-01          758.3183
   107      9.755960e-01          752.1688
   108      9.758665e-01          754.7526
   109      9.769025e-01          757.0604
   110      9.775532e-01          761.5563
   111      9.782375e-01          755.0869
   112      9.787724e-01          761.3549
   113      9.794792e-01          751.2750
   114      9.798651e-01          758.1310
   115      9.802432e-01          760.8878
   116      9.808608e-01          759.7332
   117      9.814153e-01          760.4709
   118      9.821533e-01          756.7665
   119      9.825379e-01          758.6522
   120      9.832399e-01          764.3621
   121      9.838054e-01          753.1186
   122      9.844312e-01          766.4345
   123      9.850034e-01          762.2795
   124      9.852228e-01          756.7421
   125      9.857287e-01          752.5939
   126      9.865626e-01          760.0780
   127      9.872424e-01          755.9424
   128      9.876679e-01          761.6439
   129      9.883295e-01          760.3651
   130      9.888288e-01          759.8373
   131      9.892499e-01          758.8029
   132      9.897948e-01          763.6192
   133      9.903697e-01          760.2480
   134      9.910052e-01          756.0529
   135      9.915855e-01          758.5312
   136      9.919251e-01          765.3682
   137      9.926350e-01          765.0714
   138      9.933958e-01          761.1835
   139      9.937171e-01          762.9156
   140      9.945355e-01          760.7695
   141      9.950492e-01          766.0327
   142      9.959874e-01          767.1614
   143      9.964750e-01          766.0865
   144      9.967995e-01          765.2369
   145      9.967353e-01          759.2328
   146      9.973351e-01          763.5707
   147      9.981899e-01          760.0107
   148      9.987910e-01          762.7080
   149      9.994392e-01          767.2421
   150      1.000168e+00          764.6225
   151      1.000691e+00          768.7012
   152      1.001050e+00          768.3844
   153      1.001220e+00          761.8037
   154      1.001872e+00          762.6451
   155      1.002635e+00          767.7006
   156      1.003223e+00          768.4390
   157      1.003565e+00          767.5778
   158      1.003685e+00          763.1346
   159      1.004136e+00          767.7567
   160      1.004701e+00          771.6975
   161      1.005035e+00          769.8940
   162      1.005587e+00          760.4543
   163      1.006000e+00          768.2019
   164      1.006407e+00          773.2679
   165      1.006770e+00          769.3246
   166      1.006936e+00          768.5505
   167      1.007270e+00          763.5131
   168      1.007372e+00          771.4993
   169      1.007359e+00          770.0296
   170      1.007692e+00          767.1785
   171      1.007957e+00          768.0356
   172      1.008533e+00          766.9441
   173      1.008731e+00          771.4025
   174      1.009095e+00          771.1374
   175      1.009375e+00          769.4740
   176      1.009099e+00          771.2243
   177      1.009224e+00          775.2480
   178      1.009664e+00          768.0720
   179      1.010251e+00          773.0634
   180      1.010982e+00          770.3054
   181      1.011457e+00          770.3608
   182      1.011114e+00          769.8547
   183      1.011123e+00          772.8024
   184      1.011407e+00          765.7579
   185      1.011664e+00          768.4352
   186      1.011918e+00          771.3494
   187      1.012006e+00          773.8658
   188      1.012056e+00          771.7944
   189      1.012046e+00          764.8347
   190      1.011608e+00          763.9443
   191      1.011510e+00          766.1195
   192      1.011576e+00          767.0808
   193      1.011677e+00          769.5985
   194      1.011603e+00          770.1412
   195      1.011805e+00          770.3938
   196      1.011941e+00          764.4350
   197      1.011849e+00          772.2377
   198      1.012001e+00          769.5422
   199      1.012388e+00          771.9968
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 1.012388e+00
  Final  log-likelihood   = 771.9968
  Best   log-likelihood   = 775.2480  (epoch 177)
============================================================
