============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.005
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      2.311699e-02          752.4550
     1      4.141621e-02          762.4145
     2      5.620230e-02          751.4637
     3      6.900825e-02          749.2582
     4      7.895272e-02          750.5527
     5      9.350552e-02          746.4061
     6      1.062246e-01          744.4476
     7      1.206430e-01          757.5855
     8      1.354846e-01          734.2023
     9      1.442180e-01          721.0162
    10      1.574331e-01          733.3956
    11      1.702190e-01          742.7643
    12      1.765929e-01          755.9381
    13      1.849634e-01          747.6198
    14      1.908926e-01          741.4512
    15      2.024082e-01          741.1222
    16      2.092721e-01          740.0707
    17      2.166423e-01          741.3477
    18      2.266463e-01          741.6000
    19      2.321526e-01          752.1085
    20      2.407982e-01          747.2807
    21      2.739258e-01          602.2302
    22      2.456483e-01          729.9072
    23      2.717688e-01          722.4297
    24      2.996332e-01          713.1449
    25      3.286342e-01          702.8978
    26      3.207114e-01          699.4575
    27      3.250544e-01          712.4252
    28      3.213569e-01          727.0026
    29      3.260121e-01          719.8438
    30      3.207674e-01          722.7651
    31      3.201960e-01          734.0466
    32      3.238227e-01          731.4721
    33      3.222853e-01          726.4910
    34      3.212185e-01          716.8130
    35      3.204793e-01          730.1687
    36      3.238813e-01          711.2751
    37      3.223723e-01          710.5310
    38      3.235531e-01          731.7816
    39      3.287986e-01          736.8525
    40      3.245609e-01          728.4207
    41      3.232504e-01          731.4774
    42      3.247201e-01          744.7654
    43      3.239415e-01          734.4167
    44      3.260523e-01          732.6307
    45      3.272763e-01          750.8574
    46      3.281194e-01          741.2305
    47      3.289645e-01          747.3383
    48      3.290918e-01          748.8743
    49      3.290497e-01          738.2645
    50      3.289217e-01          738.5540
    51      3.297089e-01          738.1507
    52      3.313887e-01          736.7499
    53      3.324932e-01          735.5340
    54      3.317598e-01          746.5061
    55      3.319610e-01          741.8470
    56      3.336873e-01          740.4426
    57      3.342487e-01          738.3438
    58      3.354721e-01          737.8646
    59      3.346999e-01          742.1172
    60      3.358368e-01          737.8947
    61      3.359134e-01          729.2624
    62      3.352888e-01          738.1996
    63      3.355379e-01          744.9963
    64      3.358187e-01          742.6953
    65      3.361342e-01          741.3320
    66      3.367456e-01          735.3533
    67      3.377600e-01          740.7505
    68      3.386040e-01          737.1014
    69      3.391581e-01          745.1545
    70      3.387467e-01          740.8954
    71      3.397895e-01          745.9858
    72      3.400026e-01          751.6470
    73      3.401186e-01          739.7274
    74      3.418429e-01          728.3869
    75      3.438068e-01          743.5964
    76      3.447187e-01          742.3668
    77      3.435019e-01          734.6838
    78      3.437821e-01          733.7852
    79      3.448490e-01          750.3873
    80      3.436632e-01          738.3157
    81      3.447223e-01          745.2546
    82      3.440140e-01          738.6675
    83      3.443921e-01          737.6472
    84      3.436334e-01          742.6174
    85      3.425835e-01          744.2789
    86      3.456528e-01          737.4330
    87      3.503279e-01          739.0964
    88      3.528008e-01          743.3132
    89      3.516487e-01          741.9282
    90      3.514477e-01          738.9137
    91      3.532740e-01          740.0248
    92      3.533939e-01          746.4724
    93      3.549027e-01          739.9089
    94      3.551516e-01          743.1972
    95      3.548952e-01          741.8129
    96      3.560795e-01          733.9572
    97      3.567959e-01          729.3160
    98      3.559741e-01          728.8498
    99      3.568849e-01          734.1021
   100      3.573852e-01          739.2754
   101      3.579878e-01          733.8878
   102      3.580415e-01          744.9055
   103      3.582627e-01          743.3523
   104      3.582300e-01          739.0731
   105      3.589606e-01          738.5660
   106      3.603552e-01          748.9075
   107      3.611825e-01          741.0615
   108      3.612097e-01          734.5001
   109      3.611482e-01          736.5427
   110      3.602592e-01          729.6418
   111      3.617777e-01          731.4475
   112      3.634767e-01          732.4856
   113      3.626199e-01          736.1109
   114      3.660163e-01          738.8358
   115      3.652587e-01          737.9904
   116      3.663141e-01          746.1625
   117      3.664080e-01          738.0217
   118      3.668448e-01          727.7631
   119      3.664117e-01          732.4429
   120      3.665059e-01          732.9198
   121      3.672876e-01          727.2963
   122      3.675910e-01          740.0068
   123      3.673135e-01          729.8150
   124      3.675921e-01          729.8997
   125      3.685097e-01          731.8122
   126      3.683140e-01          740.1069
   127      3.685819e-01          743.0179
   128      3.691783e-01          734.1809
   129      3.700226e-01          730.6031
   130      3.703113e-01          737.3925
   131      3.703832e-01          744.9845
   132      3.710504e-01          733.5967
   133      3.721056e-01          731.0355
   134      3.714102e-01          734.1447
   135      3.723043e-01          745.1162
   136      3.727161e-01          740.1332
   137      3.736903e-01          730.5022
   138      3.742411e-01          731.5865
   139      3.748957e-01          747.7252
   140      3.752540e-01          729.0819
   141      3.763027e-01          739.4579
   142      3.770674e-01          730.1166
   143      3.764213e-01          721.4675
   144      3.762526e-01          730.4635
   145      3.767487e-01          743.1002
   146      3.768043e-01          729.5420
   147      3.774704e-01          736.5377
   148      3.781730e-01          741.6606
   149      3.787411e-01          736.7975
   150      3.791846e-01          731.1607
   151      3.798808e-01          722.2928
   152      3.812195e-01          737.7411
   153      3.807968e-01          729.8223
   154      3.829380e-01          749.6712
