============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.01
  process_std       = 0.0
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.434258e-01        -8783.5205
     1      9.403949e-01        -5217.0654
     2      9.371501e-01          135.9620
     3      9.333503e-01          408.1772
     4      9.303603e-01          519.4300
     5      9.281541e-01          490.3851
     6      9.268002e-01          532.5900
     7      9.248487e-01          443.9903
     8      9.239125e-01          382.8029
     9      9.217776e-01          311.6452
    10      9.212300e-01          391.7157
    11      9.184310e-01          390.3387
    12      9.178730e-01          429.7800
    13      9.147959e-01          366.3916
    14      9.141846e-01          451.6046
    15      9.107865e-01          368.8477
    16      9.103400e-01          416.8456
    17      9.074243e-01          392.0692
    18      9.072076e-01          430.8863
    19      9.045453e-01          427.9082
    20      9.043041e-01          440.3071
    21      9.025851e-01          455.8680
    22      9.024826e-01          476.4452
    23      9.010632e-01          458.4507
    24      9.011161e-01          488.8373
    25      9.001988e-01          473.1515
    26      8.994074e-01          505.0639
    27      8.984338e-01          499.0673
    28      8.977683e-01          481.1280
    29      8.970233e-01          512.7088
    30      8.968514e-01          503.6603
    31      8.958911e-01          506.2260
    32      8.951179e-01          502.9964
    33      8.941985e-01          508.4998
    34      8.940177e-01          519.0511
    35      8.938134e-01          515.4385
    36      8.929783e-01          515.1284
    37      8.926475e-01          529.4087
    38      8.931623e-01          528.6332
    39      8.919964e-01          516.4423
    40      8.908535e-01          597.4083
    41      8.901294e-01          614.3598
    42      8.893252e-01          627.5324
    43      8.884774e-01          624.6561
    44      8.881034e-01          635.7715
    45      8.875503e-01          629.1498
    46      8.870950e-01          634.2660
    47      8.868139e-01          636.4841
    48      8.863592e-01          634.4088
    49      8.858817e-01          633.6080
    50      8.854117e-01          635.6287
    51      8.851506e-01          637.9642
    52      8.850096e-01          640.8682
    53      8.847176e-01          637.6453
    54      8.844044e-01          637.9807
    55      8.842151e-01          641.9600
    56      8.839597e-01          638.7610
    57      8.837010e-01          639.0499
    58      8.834137e-01          639.9781
    59      8.833601e-01          643.5132
    60      8.831116e-01          640.4163
    61      8.827199e-01          637.3427
    62      8.826681e-01          643.1228
    63      8.824821e-01          642.8685
    64      8.824189e-01          645.0629
    65      8.822497e-01          643.7352
    66      8.822458e-01          645.8956
    67      8.822380e-01          646.5138
    68      8.819113e-01          639.3499
    69      8.818424e-01          646.2635
    70      8.815457e-01          640.9913
    71      8.814400e-01          644.7917
    72      8.813199e-01          645.1920
    73      8.811311e-01          644.4902
    74      8.809769e-01          645.8019
    75      8.808551e-01          646.4892
    76      8.807467e-01          647.0891
    77      8.807166e-01          647.7980
    78      8.807124e-01          647.1281
    79      8.806206e-01          645.9303
    80      8.804914e-01          646.1661
    81      8.803480e-01          645.5200
    82      8.802131e-01          647.0699
    83      8.800839e-01          647.2353
    84      8.799167e-01          644.1198
    85      8.797724e-01          645.6777
    86      8.796780e-01          646.4475
    87      8.796474e-01          648.5511
    88      8.794532e-01          645.8323
    89      8.793214e-01          645.6052
    90      8.791096e-01          644.9240
    91      8.790811e-01          648.9852
    92      8.789631e-01          645.1632
    93      8.789124e-01          648.5502
    94      8.788190e-01          646.5364
    95      8.785813e-01          642.7487
    96      8.786164e-01          651.2595
    97      8.785716e-01          647.2543
    98      8.784747e-01          648.8135
    99      8.783453e-01          647.8078
   100      8.782266e-01          647.0408
   101      8.782709e-01          650.2845
   102      8.782097e-01          647.0994
   103      8.781147e-01          648.5794
   104      8.780069e-01          649.1461
   105      8.779959e-01          650.2474
   106      8.779789e-01          649.6288
   107      8.779588e-01          649.2663
   108      8.779485e-01          649.6856
   109      8.779455e-01          649.3201
   110      8.779457e-01          650.2291
   111      8.778054e-01          646.4271
   112      8.777222e-01          646.5161
   113      8.776905e-01          649.1098
   114      8.776056e-01          649.6074
   115      8.775852e-01          649.2346
   116      8.776187e-01          651.2609
   117      8.774806e-01          645.6729
   118      8.774653e-01          650.2111
   119      8.773414e-01          646.3348
   120      8.773470e-01          650.3557
   121      8.773093e-01          649.4719
   122      8.773553e-01          649.2407
   123      8.773492e-01          650.8592
   124      8.774238e-01          651.7407
   125      8.773275e-01          646.7043
   126      8.774180e-01          651.0648
   127      8.773821e-01          651.2661
   128      8.773776e-01          649.8634
   129      8.773705e-01          650.3754
   130      8.773578e-01          651.0921
   131      8.774086e-01          650.9493
   132      8.774880e-01          650.4565
   133      8.774346e-01          646.3762
   134      8.774272e-01          651.7929
   135      8.774347e-01          650.3243
   136      8.774359e-01          650.4108
   137      8.774320e-01          650.7132
   138      8.773273e-01          647.6085
   139      8.773919e-01          652.3064
   140      8.773279e-01          647.9619
   141      8.774644e-01          651.7377
   142      8.774719e-01          650.0810
   143      8.774949e-01          650.9951
   144      8.775995e-01          652.5316
   145      8.775901e-01          649.0601
   146      8.776770e-01          651.5466
   147      8.776876e-01          649.2418
   148      8.778140e-01          653.9769
   149      8.779320e-01          649.6656
   150      8.780637e-01          650.5789
   151      8.780294e-01          648.5703
   152      8.780969e-01          653.0014
   153      8.782350e-01          651.4210
   154      8.784274e-01          653.1517
   155      8.785415e-01          651.2325
   156      8.785701e-01          652.4487
   157      8.785763e-01          652.2047
   158      8.787180e-01          653.1021
   159      8.789130e-01          652.2476
   160      8.790050e-01          651.5767
   161      8.789892e-01          650.5164
   162      8.790455e-01          651.6483
   163      8.792085e-01          653.6864
   164      8.792996e-01          651.9578
   165      8.794423e-01          653.8792
   166      8.796083e-01          653.9255
   167      8.796727e-01          651.8288
   168      8.797805e-01          655.0728
   169      8.798883e-01          651.0975
   170      8.799701e-01          651.7388
   171      8.801348e-01          654.1574
   172      8.802606e-01          653.4609
   173      8.805092e-01          654.0865
   174      8.806256e-01          652.6954
   175      8.807055e-01          653.4080
   176      8.808614e-01          655.0688
   177      8.810897e-01          654.9781
   178      8.812763e-01          651.5720
   179      8.813587e-01          651.4512
   180      8.814425e-01          653.3394
   181      8.815694e-01          651.8041
   182      8.817235e-01          653.7291
   183      8.818649e-01          652.8939
   184      8.820078e-01          654.3524
   185      8.822005e-01          654.3036
   186      8.823584e-01          655.6526
   187      8.825931e-01          655.5109
   188      8.828238e-01          653.2891
   189      8.829929e-01          652.2955
   190      8.831074e-01          651.2688
   191      8.832518e-01          651.8055
   192      8.834363e-01          656.1656
   193      8.835893e-01          653.1578
   194      8.837751e-01          656.1954
   195      8.839778e-01          654.9167
   196      8.842052e-01          653.8090
   197      8.844711e-01          656.0453
   198      8.846683e-01          651.7925
   199      8.848583e-01          654.5640
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 8.848583e-01
  Final  log-likelihood   = 654.5640
  Best   log-likelihood   = 656.1954  (epoch 194)
============================================================
