============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.02
  process_std       = 0.01
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      6.219498e-02          403.6619
     1      8.632480e-02          591.8592
     2      1.052182e-01          698.3228
     3      1.189006e-01          746.7495
     4      1.255337e-01          766.0792
     5      1.303609e-01          771.0677
     6      1.386323e-01          768.3499
     7      1.468851e-01          770.6927
     8      1.468385e-01          765.7564
     9      1.577560e-01          774.8402
    10      1.570701e-01          748.0193
    11      1.704509e-01          731.7334
    12      1.652151e-01          760.7886
    13      1.895154e-01          768.8990
    14      1.956552e-01          753.6968
    15      2.074111e-01          767.6252
    16      2.253438e-01          747.7061
    17      2.204926e-01          743.7345
    18      2.289458e-01          773.7624
    19      2.473835e-01          758.5211
    20      2.612936e-01          771.2404
    21      2.798919e-01          776.7952
    22      2.761313e-01          750.0830
    23      2.933847e-01          733.9979
    24      2.880740e-01          775.1624
    25      2.695096e-01          745.5142
    26      2.942781e-01          774.2317
    27      3.244731e-01          771.2679
    28      3.505163e-01          774.0643
    29      3.715925e-01          767.6541
    30      3.678888e-01          776.8123
    31      3.874492e-01          763.5966
    32      3.775257e-01          779.6115
    33      3.766769e-01          773.4995
    34      3.814597e-01          772.6813
    35      3.794108e-01          768.9261
    36      3.919400e-01          782.9102
    37      4.145329e-01          763.5829
    38      4.183900e-01          777.0361
    39      4.327644e-01          771.6186
    40      4.288150e-01          773.7131
    41      4.284653e-01          789.9367
    42      4.279431e-01          784.6904
    43      4.292765e-01          788.8163
    44      4.296919e-01          791.0533
    45      4.298344e-01          794.6891
    46      4.292959e-01          794.3852
    47      4.286248e-01          794.1901
    48      4.308931e-01          792.7228
    49      4.328126e-01          790.0119
    50      4.344299e-01          793.5487
    51      4.361222e-01          784.6386
    52      4.386063e-01          791.2533
    53      4.398628e-01          788.3860
    54      4.423600e-01          789.3611
    55      4.447080e-01          792.0455
    56      4.467225e-01          791.1335
    57      4.488025e-01          788.8390
    58      4.497615e-01          793.7731
    59      4.514209e-01          790.8792
    60      4.534783e-01          788.9922
    61      4.553072e-01          793.0971
    62      4.582490e-01          794.2916
    63      4.593515e-01          785.6756
    64      4.598709e-01          794.5968
    65      4.613135e-01          794.9022
    66      4.628595e-01          788.5721
    67      4.657028e-01          790.7410
    68      4.668408e-01          794.8317
    69      4.690390e-01          789.4301
    70      4.705746e-01          792.8967
    71      4.724808e-01          791.7365
    72      4.747713e-01          790.3984
    73      4.747549e-01          793.7303
    74      4.764740e-01          795.8588
    75      4.774932e-01          794.2507
    76      4.803666e-01          792.2390
    77      4.835691e-01          791.8569
    78      4.867513e-01          795.7800
    79      4.882225e-01          792.7701
    80      4.909426e-01          794.7816
    81      4.923671e-01          791.9206
    82      4.927731e-01          789.5349
    83      4.944706e-01          795.3141
    84      4.959349e-01          796.7613
    85      4.981556e-01          792.0436
    86      4.998848e-01          791.4982
    87      5.025299e-01          791.5739
    88      5.033601e-01          789.5932
    89      5.052066e-01          793.8030
    90      5.070391e-01          792.9117
    91      5.089438e-01          794.1711
    92      5.120431e-01          794.2893
    93      5.147622e-01          799.3752
    94      5.164168e-01          789.8529
    95      5.185571e-01          798.8589
    96      5.193669e-01          790.5541
    97      5.203430e-01          794.0809
    98      5.225847e-01          795.3121
    99      5.242640e-01          793.2843
   100      5.256220e-01          794.1605
   101      5.283786e-01          793.0300
   102      5.291718e-01          794.4767
   103      5.310650e-01          795.4936
   104      5.346088e-01          791.8712
   105      5.364478e-01          788.1927
   106      5.395368e-01          787.3505
   107      5.400671e-01          790.1248
   108      5.427454e-01          794.6392
   109      5.447121e-01          794.6943
   110      5.463053e-01          798.3657
   111      5.474694e-01          792.3753
   112      5.497282e-01          793.0505
   113      5.525941e-01          792.5614
   114      5.550624e-01          791.1617
   115      5.587718e-01          788.1019
   116      5.605557e-01          790.6015
   117      5.623360e-01          792.4128
   118      5.628222e-01          795.5453
   119      5.659629e-01          791.8790
   120      5.694186e-01          794.2451
   121      5.712984e-01          788.9341
   122      5.743227e-01          793.8472
   123      5.760827e-01          794.1502
   124      5.766341e-01          791.9637
   125      5.794760e-01          792.4062
   126      5.807297e-01          792.2798
   127      5.832487e-01          787.2271
   128      5.867944e-01          791.5054
   129      5.883597e-01          789.8708
   130      5.911493e-01          790.1627
   131      5.923696e-01          791.9144
   132      5.946742e-01          793.1620
   133      5.964209e-01          794.6393
   134      5.978526e-01          788.8032
   135      6.004080e-01          788.8450
   136      6.016688e-01          794.6109
   137      6.040931e-01          795.5041
   138      6.070433e-01          791.1645
   139      6.096339e-01          793.1682
   140      6.116136e-01          793.2377
   141      6.141720e-01          794.9744
   142      6.147981e-01          794.3190
   143      6.169536e-01          792.7937
   144      6.187133e-01          792.3057
   145      6.228657e-01          787.7396
   146      6.230196e-01          791.8547
   147      6.247838e-01          792.3599
   148      6.262608e-01          794.6487
   149      6.273294e-01          790.8947
   150      6.289189e-01          793.5017
   151      6.298420e-01          796.8870
   152      6.319709e-01          794.2352
   153      6.330379e-01          793.4022
   154      6.345226e-01          791.7925
