============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.01
  process_std       = 0.0
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      5.766341e-02         -143.3593
     1      5.304698e-02          542.3890
     2      1.241958e-01          380.1585
     3      1.622921e-01          508.7243
     4      1.721217e-01          551.8749
     5      1.727461e-01          522.4594
     6      1.756925e-01          503.3698
     7      1.743055e-01          475.3521
     8      1.735715e-01          456.0309
     9      1.772370e-01          447.8159
    10      1.767676e-01          439.8229
    11      1.795053e-01          432.6467
    12      1.833247e-01          426.1158
    13      1.858069e-01          418.8750
    14      1.909125e-01          412.4663
    15      2.042245e-01          424.7675
    16      2.157657e-01          418.7189
    17      2.265493e-01          402.5512
    18      2.391734e-01          404.8819
    19      2.554480e-01          417.6890
    20      2.736728e-01          418.1091
    21      2.931513e-01          412.0154
    22      3.107325e-01          403.6238
    23      3.304023e-01          419.8890
    24      3.523804e-01          414.2950
    25      3.793288e-01          420.2767
    26      3.974240e-01          399.4367
    27      4.158851e-01          396.5682
    28      4.343815e-01          408.0232
    29      4.529033e-01          412.5346
    30      4.809238e-01          411.5190
    31      4.895554e-01          384.6971
    32      5.014434e-01          394.3196
    33      5.222353e-01          423.3371
    34      5.317075e-01          405.1642
    35      5.254576e-01          398.5823
    36      5.478969e-01          431.8480
    37      5.497671e-01          398.4341
    38      5.585585e-01          399.2374
    39      5.724592e-01          423.4070
    40      5.724136e-01          553.1060
    41      5.701070e-01          585.8230
    42      5.677643e-01          596.9381
    43      5.676576e-01          605.7984
    44      5.660670e-01          605.2927
    45      5.655990e-01          608.1096
    46      5.653217e-01          607.1719
    47      5.668600e-01          609.7822
    48      5.652732e-01          609.6758
    49      5.681862e-01          604.3998
    50      5.645130e-01          606.6735
    51      5.649534e-01          610.2435
    52      5.658747e-01          610.7520
    53      5.631087e-01          609.3466
    54      5.621746e-01          610.8160
    55      5.613266e-01          610.0283
    56      5.615601e-01          610.4177
    57      5.601732e-01          611.7291
    58      5.585003e-01          611.2534
    59      5.565984e-01          611.2010
    60      5.565512e-01          613.2707
    61      5.564455e-01          614.7089
    62      5.575501e-01          613.9755
    63      5.588590e-01          615.4458
    64      5.592811e-01          613.4864
    65      5.580696e-01          612.9600
    66      5.554585e-01          614.2800
    67      5.563777e-01          615.0560
    68      5.583150e-01          612.1592
    69      5.556877e-01          612.7952
    70      5.534281e-01          613.7092
    71      5.541374e-01          616.7467
    72      5.557925e-01          616.0388
    73      5.548407e-01          611.4445
    74      5.548990e-01          614.5900
    75      5.539955e-01          614.0834
    76      5.532742e-01          613.0373
    77      5.534253e-01          615.8993
    78      5.535860e-01          615.0499
    79      5.546026e-01          617.5956
    80      5.547887e-01          613.7318
    81      5.542041e-01          614.7313
    82      5.525796e-01          618.5368
    83      5.524485e-01          616.5087
    84      5.505206e-01          614.9460
    85      5.512010e-01          618.1802
    86      5.502952e-01          616.7580
    87      5.492747e-01          615.9226
    88      5.508610e-01          616.5746
    89      5.490574e-01          615.1671
    90      5.516268e-01          616.1519
    91      5.477120e-01          613.8523
    92      5.483789e-01          616.8157
    93      5.465940e-01          616.2368
    94      5.458686e-01          619.0572
    95      5.463719e-01          619.4124
    96      5.465769e-01          619.6520
    97      5.465429e-01          620.3955
    98      5.468068e-01          617.9633
    99      5.476028e-01          618.1723
   100      5.484912e-01          618.4288
   101      5.495248e-01          619.0775
   102      5.495843e-01          614.6480
   103      5.496891e-01          619.5485
   104      5.473405e-01          614.5144
   105      5.471346e-01          618.5309
   106      5.479139e-01          620.6397
   107      5.474061e-01          617.4338
   108      5.465569e-01          619.5622
   109      5.468154e-01          620.1257
   110      5.466172e-01          619.8218
   111      5.468135e-01          617.8662
   112      5.477169e-01          618.2071
   113      5.484042e-01          620.4379
   114      5.488124e-01          617.8257
   115      5.484841e-01          619.9218
   116      5.489568e-01          621.1840
   117      5.478955e-01          618.3429
   118      5.499229e-01          618.5821
   119      5.505832e-01          619.0739
   120      5.494662e-01          618.8110
   121      5.505931e-01          621.2045
   122      5.507569e-01          619.5223
   123      5.492132e-01          618.7347
   124      5.490403e-01          622.0492
   125      5.504709e-01          622.2048
   126      5.513014e-01          621.7963
   127      5.515603e-01          621.1647
   128      5.531245e-01          619.8771
   129      5.529178e-01          618.7956
   130      5.528493e-01          621.0817
   131      5.530376e-01          620.7719
   132      5.506897e-01          620.4321
   133      5.513285e-01          622.1078
   134      5.519051e-01          623.3354
   135      5.536384e-01          621.1144
   136      5.542072e-01          619.6391
   137      5.545459e-01          622.0204
   138      5.552347e-01          622.5822
   139      5.547357e-01          621.9354
   140      5.562389e-01          622.9594
   141      5.567599e-01          620.9772
   142      5.561301e-01          623.7446
   143      5.557034e-01          621.6234
   144      5.550430e-01          621.2606
   145      5.561507e-01          624.4047
   146      5.566410e-01          621.8521
   147      5.573630e-01          620.6068
   148      5.554720e-01          621.1653
   149      5.555723e-01          621.8969
   150      5.552840e-01          622.7378
   151      5.543703e-01          622.4230
   152      5.530115e-01          625.5844
   153      5.521626e-01          625.7231
   154      5.540702e-01          623.6668
