============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.005
  process_std       = 0.0
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.777279e-01          429.6834
     1      3.774024e-01           -9.0998
     2      3.773913e-01          474.2570
     3      3.801141e-01          612.9232
     4      3.819094e-01          396.7838
     5      3.863341e-01          644.4880
     6      3.874429e-01          582.3460
     7      3.902487e-01          625.8716
     8      3.909990e-01          618.8177
     9      3.937003e-01          628.5865
    10      3.957210e-01          599.0956
    11      3.982719e-01          632.4765
    12      4.004511e-01          614.5584
    13      4.029998e-01          616.7729
    14      4.063100e-01          603.4596
    15      4.099604e-01          612.2203
    16      4.146427e-01          612.0339
    17      4.195358e-01          609.0780
    18      4.242390e-01          614.5650
    19      4.303109e-01          595.5865
    20      4.366355e-01          616.5808
    21      4.434531e-01          611.2646
    22      4.518769e-01          592.8928
    23      4.609261e-01          605.1503
    24      4.705072e-01          609.0963
    25      4.805149e-01          595.6955
    26      4.912866e-01          603.9764
    27      5.031374e-01          599.9988
    28      5.128934e-01          604.3676
    29      5.218178e-01          605.2401
    30      5.311334e-01          597.4744
    31      5.377116e-01          624.1829
    32      5.435321e-01          608.8013
    33      5.495413e-01          620.2190
    34      5.559502e-01          620.9578
    35      5.583473e-01          609.5486
    36      5.529290e-01          575.3806
    37      5.452854e-01          503.5207
    38      5.442019e-01          632.0490
    39      5.398032e-01          610.1781
    40      5.397352e-01          663.9090
    41      5.396749e-01          666.0185
    42      5.395136e-01          655.5135
    43      5.393516e-01          666.6161
    44      5.392064e-01          663.6470
    45      5.391153e-01          670.7361
    46      5.391039e-01          659.4092
    47      5.391967e-01          651.5583
    48      5.391040e-01          664.6095
    49      5.390279e-01          657.8519
    50      5.391213e-01          655.4962
    51      5.393879e-01          656.7823
    52      5.398155e-01          659.7085
    53      5.398505e-01          656.5038
    54      5.398902e-01          663.6749
    55      5.401396e-01          662.6465
    56      5.400401e-01          665.1877
    57      5.403763e-01          672.2288
    58      5.407526e-01          664.7731
    59      5.409897e-01          655.2734
    60      5.412837e-01          664.0632
    61      5.413833e-01          663.3640
    62      5.413574e-01          661.4874
    63      5.414765e-01          663.1180
    64      5.419821e-01          647.1719
    65      5.419286e-01          664.0420
    66      5.423408e-01          647.2596
    67      5.428180e-01          666.4520
    68      5.429242e-01          664.0815
    69      5.434180e-01          657.4351
    70      5.438496e-01          663.7172
    71      5.440788e-01          664.2052
    72      5.444171e-01          666.7738
    73      5.448487e-01          663.8650
    74      5.453511e-01          659.6445
    75      5.456401e-01          663.6875
    76      5.457422e-01          661.4778
    77      5.456905e-01          663.6043
    78      5.454646e-01          661.4749
    79      5.455700e-01          665.2131
    80      5.458350e-01          666.6236
    81      5.460095e-01          663.6409
    82      5.461988e-01          652.7493
    83      5.455868e-01          658.4353
    84      5.453935e-01          663.7590
    85      5.456231e-01          668.8172
    86      5.457258e-01          664.1581
    87      5.457111e-01          663.7197
    88      5.458730e-01          664.9985
    89      5.456291e-01          662.9232
    90      5.460387e-01          666.2904
    91      5.465472e-01          663.5643
    92      5.467873e-01          668.2504
    93      5.466724e-01          658.4824
    94      5.467404e-01          667.8923
    95      5.466757e-01          665.4137
    96      5.464932e-01          658.5822
    97      5.466799e-01          664.4675
    98      5.470823e-01          662.7487
    99      5.475616e-01          662.8356
   100      5.480552e-01          664.5010
   101      5.483968e-01          666.2292
   102      5.487928e-01          666.1679
   103      5.491686e-01          664.7335
   104      5.492322e-01          664.0786
   105      5.489817e-01          659.0966
