============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.02
  process_std       = 0.0
  N_ens             = 100
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      1.659990e-01         -131.7685
     1      2.490125e-01          276.4598
     2      2.790307e-01          198.5295
     3      2.447041e-01          -14.5017
     4      1.776763e-01          188.0969
     5      1.846796e-01          425.3015
     6      3.041527e-01          422.4888
     7      3.311053e-01          249.5067
     8      2.958924e-01          304.8167
     9      2.737150e-01          534.9039
    10      3.409182e-01          578.1608
    11      3.660621e-01          494.7524
    12      3.417830e-01          382.5818
    13      3.296051e-01          538.2170
    14      3.557898e-01          581.6251
    15      3.496996e-01          390.2486
    16      3.375863e-01          318.7949
    17      3.490936e-01          372.1074
    18      3.783317e-01          463.9781
    19      4.039387e-01          504.9257
    20      4.413914e-01          551.7184
    21      4.638534e-01          538.8600
    22      5.069592e-01          533.7241
    23      5.147884e-01          477.8523
    24      5.525939e-01          521.2376
    25      5.702803e-01          428.3885
    26      5.810732e-01          444.8065
    27      5.965765e-01          380.5970
    28      6.062213e-01          452.0435
    29      6.166561e-01          514.5049
    30      7.227629e-01        -2524.3398
    31      7.498069e-01        -1657.7485
    32      7.562693e-01        -1225.9355
    33      7.972339e-01           99.6059
    34      8.001668e-01           84.8036
    35      8.152527e-01          268.2782
    36      8.186094e-01          236.4667
    37      8.280485e-01          258.7732
    38      8.321531e-01          227.1745
    39      8.467634e-01          244.3325
    40      8.452795e-01          328.3331
    41      8.426163e-01          342.6699
    42      8.412578e-01          349.5488
    43      8.402090e-01          361.3053
    44      8.394603e-01          357.2195
    45      8.403103e-01          358.9852
    46      8.426952e-01          351.3837
    47      8.432785e-01          350.1453
    48      8.424664e-01          361.0771
    49      8.419701e-01          363.2254
    50      8.422023e-01          360.3517
    51      8.417615e-01          365.6333
    52      8.422779e-01          363.2208
    53      8.428218e-01          356.6504
    54      8.426552e-01          353.4722
    55      8.428719e-01          361.4392
    56      8.436407e-01          358.1862
    57      8.441772e-01          357.8003
    58      8.441567e-01          360.0167
    59      8.436579e-01          353.2372
    60      8.429897e-01          356.9727
    61      8.422157e-01          353.9271
    62      8.436319e-01          359.4855
    63      8.432894e-01          356.0419
    64      8.441181e-01          360.2155
    65      8.454734e-01          360.3086
    66      8.448509e-01          360.7326
    67      8.450657e-01          362.4709
    68      8.444717e-01          365.6009
    69      8.454323e-01          359.4004
    70      8.455517e-01          357.6845
    71      8.443167e-01          355.0390
    72      8.447284e-01          358.9179
    73      8.447553e-01          361.5188
    74      8.438305e-01          361.9223
    75      8.455086e-01          358.1592
    76      8.463739e-01          358.2426
    77      8.463513e-01          365.4264
    78      8.454641e-01          359.2072
    79      8.446637e-01          359.4176
    80      8.456538e-01          357.4979
    81      8.465407e-01          354.9966
    82      8.458758e-01          357.3849
    83      8.461772e-01          360.8682
    84      8.454968e-01          351.2526
    85      8.442506e-01          363.5238
    86      8.445251e-01          361.4366
    87      8.462426e-01          357.6593
    88      8.466926e-01          354.9067
    89      8.467649e-01          364.3708
    90      8.465451e-01          357.0271
    91      8.463509e-01          360.3394
    92      8.452508e-01          358.8047
    93      8.445647e-01          360.2198
    94      8.459694e-01          349.8862
    95      8.455357e-01          358.2505
    96      8.451226e-01          360.8960
    97      8.467248e-01          356.1245
    98      8.459662e-01          353.3246
    99      8.446344e-01          357.9886
   100      8.454049e-01          353.6706
   101      8.459613e-01          366.0293
   102      8.458883e-01          368.2912
   103      8.450539e-01          363.8919
   104      8.454016e-01          362.7808
   105      8.449154e-01          360.7220
   106      8.457593e-01          361.8421
   107      8.470976e-01          354.3130
   108      8.467242e-01          362.3284
   109      8.463945e-01          357.9227
   110      8.455691e-01          365.2142
   111      8.456711e-01          347.9803
   112      8.457307e-01          363.6026
   113      8.471829e-01          357.8721
   114      8.470862e-01          362.9041
   115      8.459609e-01          365.4018
   116      8.463220e-01          365.9944
   117      8.462987e-01          361.0351
   118      8.459154e-01          362.6910
   119      8.462484e-01          361.7655
   120      8.473541e-01          359.6927
   121      8.470511e-01          361.6623
   122      8.462035e-01          363.1937
   123      8.481219e-01          359.5452
   124      8.480479e-01          355.3216
   125      8.476309e-01          361.4186
   126      8.467011e-01          362.0132
   127      8.465133e-01          363.5907
   128      8.469983e-01          361.3727
   129      8.475676e-01          366.1464
   130      8.480868e-01          364.6876
   131      8.480613e-01          359.4196
   132      8.475124e-01          362.0610
   133      8.474333e-01          357.3694
   134      8.493050e-01          355.6209
   135      8.478634e-01          359.5427
   136      8.474845e-01          360.5945
   137      8.472424e-01          358.7551
   138      8.486325e-01          365.6914
   139      8.491510e-01          357.1619
   140      8.492215e-01          361.6245
   141      8.495102e-01          367.9808
   142      8.495252e-01          357.4062
   143      8.492779e-01          366.2563
   144      8.496420e-01          362.3894
   145      8.496106e-01          365.0432
   146      8.490729e-01          362.3682
   147      8.490148e-01          358.1017
   148      8.495815e-01          361.6562
   149      8.501658e-01          359.6482
   150      8.501751e-01          361.1386
   151      8.489645e-01          358.2698
   152      8.495258e-01          358.2652
   153      8.510459e-01          356.9825
