============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.01
  process_std       = 0.01
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.374592e-01          442.0518
     1      9.340566e-01          450.0769
     2      9.244475e-01          548.9031
     3      9.230645e-01          671.4836
     4      9.256810e-01          628.0773
     5      9.244877e-01          720.4761
     6      9.222772e-01          699.9930
     7      9.254580e-01          683.1455
     8      9.263434e-01          674.0477
     9      9.245744e-01          623.7425
    10      9.313201e-01          446.8938
    11      9.399282e-01          458.9983
    12      9.375094e-01          479.1164
    13      9.416648e-01          614.5398
    14      9.416077e-01          717.0685
    15      9.399961e-01          739.2733
    16      9.368880e-01          735.8508
    17      9.354873e-01          753.2986
    18      9.349764e-01          750.5710
    19      9.344308e-01          757.1078
    20      9.345382e-01          750.3701
    21      9.336832e-01          754.1605
    22      9.332677e-01          754.3300
    23      9.333591e-01          751.0490
    24      9.336124e-01          749.7177
    25      9.337474e-01          753.5278
    26      9.344744e-01          744.5411
    27      9.340182e-01          738.2556
    28      9.355686e-01          761.1545
    29      9.368191e-01          743.3585
    30      9.377925e-01          711.3921
    31      9.385864e-01          717.5748
    32      9.399541e-01          735.8572
    33      9.405162e-01          736.0567
    34      9.421642e-01          745.0201
    35      9.433355e-01          749.1119
    36      9.444653e-01          681.1478
    37      9.432851e-01          569.5692
    38      9.420394e-01          718.6090
    39      9.395750e-01          749.0179
    40      9.394819e-01          749.2968
    41      9.395307e-01          742.7144
    42      9.397041e-01          755.5290
    43      9.398023e-01          753.3082
    44      9.397895e-01          746.3127
    45      9.399037e-01          761.5271
    46      9.398322e-01          758.1087
    47      9.398448e-01          759.7445
    48      9.399582e-01          761.3218
    49      9.399938e-01          752.8707
    50      9.400593e-01          756.1905
    51      9.402229e-01          755.8730
    52      9.402417e-01          753.4753
    53      9.401799e-01          755.5809
    54      9.401919e-01          758.2379
    55      9.403459e-01          752.1087
    56      9.402830e-01          754.4805
    57      9.404449e-01          760.1851
    58      9.405026e-01          753.8753
    59      9.406356e-01          762.4050
    60      9.405690e-01          757.5675
    61      9.406780e-01          746.9114
    62      9.409326e-01          757.4557
    63      9.410959e-01          765.6199
    64      9.411180e-01          757.1724
    65      9.411428e-01          759.0494
    66      9.412615e-01          754.5159
    67      9.414440e-01          759.6669
    68      9.415998e-01          751.9346
    69      9.418170e-01          759.8557
    70      9.418507e-01          760.4540
    71      9.420128e-01          757.8979
    72      9.422202e-01          765.7290
    73      9.421670e-01          757.2840
    74      9.425597e-01          744.4751
    75      9.430212e-01          762.6984
    76      9.431837e-01          759.3826
    77      9.431228e-01          751.2169
    78      9.433750e-01          750.3372
    79      9.436243e-01          764.7565
    80      9.435914e-01          763.8416
    81      9.439638e-01          762.1365
    82      9.441193e-01          753.5984
    83      9.442770e-01          756.2260
    84      9.446916e-01          762.6694
    85      9.452124e-01          762.8173
    86      9.455239e-01          756.7804
    87      9.461153e-01          750.6812
    88      9.465977e-01          762.2762
    89      9.466261e-01          758.3878
    90      9.469193e-01          756.1532
    91      9.473187e-01          752.3143
    92      9.474906e-01          759.9089
    93      9.482684e-01          758.0131
    94      9.484454e-01          755.8565
    95      9.487468e-01          750.1459
    96      9.491339e-01          753.2579
    97      9.493501e-01          747.0518
    98      9.496334e-01          738.4865
    99      9.501344e-01          758.4912
   100      9.502966e-01          753.2344
   101      9.508837e-01          748.2026
   102      9.511102e-01          758.1503
   103      9.517236e-01          749.4716
   104      9.520503e-01          750.3411
   105      9.524999e-01          742.8469
   106      9.525568e-01          751.0076
   107      9.529053e-01          761.2890
   108      9.534306e-01          745.1194
   109      9.537458e-01          751.8380
   110      9.538358e-01          743.6925
   111      9.544993e-01          736.6943
   112      9.547610e-01          735.4584
   113      9.551545e-01          754.1286
   114      9.557842e-01          746.9977
   115      9.560151e-01          737.2600
   116      9.568611e-01          752.1812
   117      9.570789e-01          745.4449
   118      9.579104e-01          732.5558
   119      9.580512e-01          736.8658
   120      9.585570e-01          737.1928
   121      9.587778e-01          737.3996
   122      9.591408e-01          748.4079
   123      9.595071e-01          738.3734
   124      9.599804e-01          734.4070
   125      9.601424e-01          741.5524
   126      9.605290e-01          747.0470
   127      9.608040e-01          751.6118
   128      9.612545e-01          739.8913
   129      9.614872e-01          739.8412
   130      9.619217e-01          739.8174
   131      9.620394e-01          751.6437
   132      9.625544e-01          732.5535
   133      9.627947e-01          734.7030
   134      9.631745e-01          739.7684
   135      9.633158e-01          753.9001
   136      9.637073e-01          748.1073
   137      9.642643e-01          733.4801
   138      9.641985e-01          733.1470
   139      9.646807e-01          756.3990
   140      9.650723e-01          732.4493
   141      9.654766e-01          739.4191
   142      9.658895e-01          736.0123
   143      9.663134e-01          732.0903
   144      9.666315e-01          739.6320
   145      9.670177e-01          750.9289
   146      9.673315e-01          728.7695
   147      9.676211e-01          739.5620
   148      9.678534e-01          742.3665
   149      9.681106e-01          749.7028
   150      9.684916e-01          738.6375
   151      9.688033e-01          746.9066
   152      9.692883e-01          744.1538
   153      9.694923e-01          745.3288
   154      9.699174e-01          753.6573
   155      9.702924e-01          733.3120
   156      9.704981e-01          731.2236
   157      9.708342e-01          743.2566
   158      9.712793e-01          762.2631
   159      9.712337e-01          734.1081
   160      9.716194e-01          726.6040
   161      9.720355e-01          741.2159
   162      9.723314e-01          734.7906
   163      9.727676e-01          744.0571
   164      9.731511e-01          741.9831
   165      9.733394e-01          753.8590
   166      9.737435e-01          745.3931
   167      9.741631e-01          741.9733
   168      9.746878e-01          750.4199
   169      9.751235e-01          738.2143
   170      9.754620e-01          747.1716
   171      9.757109e-01          748.0717
   172      9.758145e-01          740.7886
   173      9.762160e-01          741.3192
   174      9.763585e-01          740.3697
   175      9.767605e-01          753.6060
   176      9.772228e-01          740.3351
   177      9.773774e-01          748.6169
   178      9.777224e-01          743.8949
   179      9.781034e-01          747.2830
   180      9.781996e-01          745.6599
   181      9.786888e-01          736.4064
   182      9.791270e-01          742.0664
   183      9.793945e-01          752.5934
   184      9.796450e-01          746.1086
   185      9.799419e-01          741.1384
   186      9.802806e-01          739.1769
   187      9.805623e-01          731.2891
   188      9.809641e-01          746.3041
   189      9.811028e-01          741.8286
   190      9.815223e-01          744.3133
   191      9.816915e-01          752.5414
   192      9.819804e-01          743.6583
   193      9.822476e-01          736.1561
   194      9.826096e-01          745.2516
   195      9.829760e-01          752.6934
   196      9.831139e-01          749.8308
   197      9.836056e-01          758.9146
   198      9.838963e-01          752.4771
   199      9.839484e-01          753.7100
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 9.839484e-01
  Final  log-likelihood   = 753.7100
  Best   log-likelihood   = 765.7290  (epoch 72)
============================================================
