============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.005
  process_std       = 0.01
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.744968e-01          679.8372
     1      3.737307e-01          644.1848
     2      3.733476e-01          711.6571
     3      3.736186e-01          737.9202
     4      3.756106e-01          726.6930
     5      3.776153e-01          728.7939
     6      3.788075e-01          731.5388
     7      3.816365e-01          733.6234
     8      3.862377e-01          725.3405
     9      3.907056e-01          728.8433
    10      3.948893e-01          728.7679
    11      3.985040e-01          714.0333
    12      4.054666e-01          728.2691
    13      4.085667e-01          713.8016
    14      4.063777e-01          726.8170
    15      4.115688e-01          745.8251
    16      4.146075e-01          737.6833
    17      4.168538e-01          738.4783
    18      4.200406e-01          745.9249
    19      4.218564e-01          748.3928
    20      4.247151e-01          740.6630
    21      4.379447e-01          627.7667
    22      4.509484e-01          713.2025
    23      4.643312e-01          643.9622
    24      4.601099e-01          566.6491
    25      4.615997e-01          627.3130
    26      4.547623e-01          670.1468
    27      4.518582e-01          721.4199
    28      4.639907e-01          705.7036
    29      4.593532e-01          690.8749
    30      4.610278e-01          739.4199
    31      4.625227e-01          741.3563
    32      4.636978e-01          734.7244
    33      4.640339e-01          730.5947
    34      4.649000e-01          735.2501
    35      4.664625e-01          742.8491
    36      4.683687e-01          722.6660
    37      4.686849e-01          716.2668
    38      4.701129e-01          740.8398
    39      4.727328e-01          749.7822
    40      4.719020e-01          734.4322
    41      4.711946e-01          732.7586
    42      4.715237e-01          746.0208
    43      4.716621e-01          740.6327
    44      4.719306e-01          728.2153
    45      4.727315e-01          748.9109
    46      4.731514e-01          742.8867
    47      4.737578e-01          751.4045
    48      4.739992e-01          752.9417
    49      4.742283e-01          740.1617
    50      4.744454e-01          741.6190
    51      4.745425e-01          741.0725
    52      4.751743e-01          741.4637
    53      4.759621e-01          740.3021
    54      4.758768e-01          745.5520
    55      4.758910e-01          740.3389
    56      4.764606e-01          741.5144
    57      4.769084e-01          739.4288
    58      4.771904e-01          737.3786
    59      4.773522e-01          744.1371
    60      4.774233e-01          738.1625
    61      4.774919e-01          725.9895
    62      4.775445e-01          738.2247
    63      4.780746e-01          753.0918
    64      4.782936e-01          743.8089
    65      4.785027e-01          746.2249
    66      4.786228e-01          736.0063
    67      4.789170e-01          738.3868
    68      4.793875e-01          739.8776
    69      4.799157e-01          746.9208
    70      4.799694e-01          745.6199
    71      4.802332e-01          747.4846
    72      4.805612e-01          752.5750
    73      4.809074e-01          739.3221
    74      4.814445e-01          727.4247
    75      4.819646e-01          747.2913
    76      4.822502e-01          743.8506
    77      4.823148e-01          739.2733
    78      4.823786e-01          732.2416
    79      4.826903e-01          752.6480
    80      4.825940e-01          746.4695
    81      4.828699e-01          747.6315
    82      4.829946e-01          737.1402
    83      4.831785e-01          741.6498
    84      4.832619e-01          747.2229
    85      4.838626e-01          748.5543
    86      4.845258e-01          741.5051
    87      4.847913e-01          738.3414
    88      4.853821e-01          748.0129
    89      4.854354e-01          747.5662
    90      4.853615e-01          742.7344
    91      4.856960e-01          738.6972
    92      4.858671e-01          748.1187
    93      4.864314e-01          746.1033
    94      4.867127e-01          747.8527
    95      4.867667e-01          740.3433
    96      4.870376e-01          738.5676
    97      4.872566e-01          735.1177
    98      4.871320e-01          729.8414
    99      4.874668e-01          743.2277
   100      4.877285e-01          745.5341
   101      4.878927e-01          738.5981
   102      4.882331e-01          748.5743
   103      4.884990e-01          743.8769
   104      4.887863e-01          743.9630
   105      4.888281e-01          741.6403
