============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.02
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.201332e-01          245.7524
     1      9.022588e-01          556.7129
     2      8.959888e-01          709.8312
     3      8.977736e-01          732.4194
     4      8.959962e-01          684.2555
     5      8.907634e-01          716.2104
     6      8.904571e-01          733.3976
     7      8.915889e-01          744.3658
     8      8.854752e-01          734.7333
     9      8.819428e-01          719.6528
    10      8.752139e-01          705.4385
    11      8.764957e-01          746.1993
    12      8.759893e-01          747.0442
    13      8.785245e-01          746.7153
    14      8.775322e-01          715.1810
    15      8.713822e-01          719.0445
    16      8.698183e-01          738.1503
    17      8.785918e-01          740.1230
    18      8.815836e-01          711.5284
    19      8.696964e-01          682.6462
    20      8.700390e-01          730.1332
    21      8.720588e-01          740.6782
    22      8.714570e-01          741.5696
    23      8.743793e-01          731.2167
    24      8.695136e-01          705.3420
    25      8.706134e-01          734.9883
    26      8.706980e-01          736.9977
    27      8.663070e-01          720.1822
    28      8.673294e-01          702.9485
    29      8.645161e-01          712.5262
    30      8.645024e-01          747.9194
    31      8.660147e-01          748.8867
    32      8.647413e-01          746.9474
    33      8.644342e-01          721.8373
    34      8.508521e-01          726.5172
    35      8.512566e-01          738.6589
    36      8.545295e-01          729.8326
    37      8.564727e-01          726.4347
    38      8.529522e-01          717.0881
    39      8.540918e-01          734.1710
    40      8.545769e-01          722.9138
    41      8.566206e-01          733.3481
    42      8.610216e-01          752.4550
    43      8.628475e-01          734.6274
    44      8.653886e-01          737.7942
    45      8.658143e-01          751.2121
    46      8.676995e-01          751.3925
    47      8.682427e-01          751.0560
    48      8.694702e-01          756.1948
    49      8.704093e-01          744.3091
    50      8.714526e-01          751.0444
    51      8.721933e-01          740.6344
    52      8.747854e-01          746.3011
    53      8.769861e-01          740.9326
    54      8.773690e-01          736.9142
    55      8.786188e-01          742.7473
    56      8.818786e-01          755.1999
    57      8.833581e-01          742.7180
    58      8.875618e-01          745.7078
    59      8.867961e-01          741.1099
    60      8.886147e-01          746.7491
    61      8.921310e-01          734.6978
    62      8.947977e-01          749.4913
    63      8.959045e-01          758.7960
    64      8.975804e-01          753.7156
    65      8.991890e-01          750.1095
    66      9.012858e-01          748.3859
    67      9.018789e-01          746.6491
    68      9.034749e-01          740.3412
    69      9.043941e-01          752.7142
    70      9.051476e-01          748.2166
    71      9.059064e-01          749.7336
    72      9.056037e-01          757.2157
    73      9.081687e-01          747.1234
    74      9.116529e-01          731.5235
    75      9.128541e-01          745.1942
    76      9.139596e-01          747.3490
    77      9.148793e-01          735.5864
    78      9.157918e-01          737.5430
    79      9.164298e-01          758.8152
    80      9.174079e-01          756.3651
    81      9.191424e-01          759.3391
    82      9.203754e-01          749.7182
    83      9.221273e-01          749.7056
    84      9.210866e-01          758.9213
    85      9.223577e-01          755.8609
    86      9.241683e-01          753.1187
    87      9.256181e-01          747.4958
    88      9.268069e-01          753.6851
    89      9.278038e-01          747.9567
    90      9.299608e-01          747.4461
    91      9.309783e-01          744.4039
    92      9.325904e-01          750.5400
    93      9.340194e-01          747.3472
    94      9.357308e-01          741.8041
    95      9.359214e-01          735.1617
    96      9.374149e-01          747.3106
    97      9.394541e-01          742.3591
    98      9.405535e-01          734.3204
    99      9.417089e-01          754.8074
   100      9.431667e-01          749.5828
   101      9.452124e-01          754.7552
   102      9.451146e-01          755.7567
   103      9.466333e-01          753.6485
   104      9.488725e-01          746.8755
   105      9.495785e-01          748.6337
   106      9.504167e-01          748.6542
   107      9.518006e-01          758.9360
   108      9.535151e-01          742.3492
   109      9.544916e-01          750.2323
   110      9.561898e-01          745.8229
   111      9.580591e-01          744.9766
   112      9.593386e-01          736.4716
   113      9.621831e-01          754.8706
   114      9.657102e-01          757.1155
   115      9.653585e-01          748.9228
   116      9.663758e-01          752.6223
   117      9.684264e-01          750.9515
   118      9.702052e-01          749.0367
   119      9.715851e-01          747.6083
   120      9.722486e-01          750.6829
   121      9.730742e-01          743.9938
   122      9.736121e-01          753.3137
   123      9.755263e-01          750.3896
   124      9.766926e-01          746.2858
   125      9.775844e-01          748.4790
   126      9.780502e-01          757.7940
   127      9.798248e-01          759.5092
   128      9.814060e-01          748.1191
   129      9.826773e-01          748.7917
   130      9.838309e-01          751.2518
   131      9.853255e-01          756.4493
   132      9.863578e-01          745.8856
   133      9.868684e-01          745.0908
   134      9.875246e-01          752.6202
   135      9.893333e-01          761.2297
   136      9.913473e-01          758.7968
   137      9.933273e-01          743.8069
   138      9.932523e-01          747.3378
   139      9.939589e-01          761.9755
   140      9.953502e-01          749.5574
   141      9.958018e-01          755.8872
   142      9.981524e-01          750.8734
   143      9.991162e-01          752.0319
   144      1.001080e+00          754.7960
   145      1.002528e+00          762.1110
   146      1.004408e+00          746.9761
   147      1.005216e+00          751.8569
   148      1.006085e+00          751.4612
   149      1.006903e+00          760.3057
   150      1.008560e+00          750.7805
   151      1.009017e+00          757.2543
   152      1.008705e+00          755.9471
   153      1.010536e+00          756.0641
   154      1.012482e+00          765.0546
   155      1.014160e+00          742.9779
   156      1.015617e+00          754.5049
   157      1.016132e+00          750.6606
   158      1.017139e+00          767.9116
   159      1.017935e+00          755.5370
   160      1.018708e+00          749.2603
   161      1.019220e+00          762.7616
   162      1.019064e+00          754.0044
   163      1.021126e+00          760.8329
   164      1.023452e+00          758.8925
   165      1.024312e+00          759.5914
   166      1.026860e+00          760.2302
   167      1.029033e+00          765.1488
   168      1.031324e+00          762.7531
   169      1.032418e+00          753.0090
   170      1.034827e+00          754.6304
   171      1.035055e+00          760.3286
   172      1.035925e+00          756.3046
   173      1.036858e+00          761.6871
   174      1.037237e+00          761.9058
   175      1.037636e+00          766.1071
   176      1.038485e+00          759.9429
   177      1.039764e+00          758.8777
   178      1.039434e+00          761.3895
   179      1.039283e+00          759.2610
   180      1.038693e+00          755.2597
   181      1.037817e+00          758.5127
   182      1.038651e+00          753.0005
   183      1.039064e+00          763.1121
   184      1.040067e+00          759.6461
   185      1.041343e+00          756.6133
   186      1.042192e+00          755.6953
   187      1.044668e+00          757.0304
   188      1.047356e+00          761.8173
   189      1.048208e+00          762.3218
   190      1.047884e+00          760.2779
   191      1.047086e+00          763.6219
   192      1.047764e+00          757.5252
   193      1.048775e+00          759.3585
   194      1.048173e+00          765.6529
   195      1.047940e+00          764.9124
   196      1.048398e+00          763.5527
   197      1.048409e+00          770.8594
   198      1.049220e+00          765.6289
   199      1.049142e+00          763.4406
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 1.049142e+00
  Final  log-likelihood   = 763.4406
  Best   log-likelihood   = 770.8594  (epoch 197)
============================================================
