============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.005
  process_std       = 0.0
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      2.661354e-02          491.2293
     1      3.572589e-02          610.0123
     2      6.704962e-02          530.3911
     3      1.155717e-01          456.8236
     4      1.336282e-01          508.3975
     5      1.282178e-01          559.4115
     6      1.179642e-01          590.8162
     7      1.101610e-01          597.8367
     8      1.123196e-01          598.8658
     9      1.164465e-01          594.4171
    10      1.178965e-01          582.7006
    11      1.180154e-01          583.4258
    12      1.204826e-01          588.8774
    13      1.246914e-01          585.4787
    14      1.299891e-01          586.4792
    15      1.350755e-01          587.4789
    16      1.367678e-01          576.3142
    17      1.456762e-01          591.1628
    18      1.553643e-01          582.8009
    19      1.619629e-01          583.0820
    20      1.706221e-01          584.4591
    21      1.776879e-01          578.9297
    22      1.879056e-01          585.0336
    23      1.982352e-01          579.5300
    24      2.072722e-01          575.6819
    25      2.157990e-01          577.7321
    26      2.215773e-01          571.7272
    27      2.316298e-01          582.8370
    28      2.395727e-01          570.6887
    29      2.504990e-01          578.0845
    30      2.603401e-01          576.8688
    31      2.659282e-01          566.1981
    32      2.748634e-01          573.2175
    33      2.825868e-01          574.6417
    34      2.952787e-01          575.5073
    35      3.055439e-01          570.9940
    36      3.167443e-01          570.3161
    37      3.272575e-01          572.0322
    38      3.374828e-01          567.9609
    39      3.442381e-01          563.3734
    40      3.460307e-01          649.8842
    41      3.461223e-01          649.6050
    42      3.464211e-01          653.7053
    43      3.474147e-01          652.9172
    44      3.478665e-01          655.8698
    45      3.481506e-01          654.9250
    46      3.497275e-01          656.6027
    47      3.507457e-01          657.7993
    48      3.516770e-01          657.5061
    49      3.521803e-01          657.0327
    50      3.531352e-01          658.4998
    51      3.539312e-01          658.7559
    52      3.546683e-01          658.2302
    53      3.553935e-01          659.2366
    54      3.559733e-01          659.2283
    55      3.564626e-01          660.7214
    56      3.576701e-01          655.8559
    57      3.584915e-01          658.3743
    58      3.598767e-01          656.6002
    59      3.601168e-01          659.5193
    60      3.609360e-01          658.5145
    61      3.613071e-01          658.4636
    62      3.619003e-01          658.3884
    63      3.622431e-01          659.2313
    64      3.623600e-01          661.8425
    65      3.631087e-01          661.0601
    66      3.633286e-01          660.4304
    67      3.642137e-01          661.4114
    68      3.652031e-01          659.5970
    69      3.665490e-01          660.7628
    70      3.675398e-01          659.7877
    71      3.678305e-01          659.9838
    72      3.682178e-01          661.8137
    73      3.680961e-01          661.4741
    74      3.687941e-01          661.4850
    75      3.696504e-01          661.8580
    76      3.706097e-01          661.5057
    77      3.709825e-01          662.2853
    78      3.720915e-01          661.0053
    79      3.728764e-01          660.3359
    80      3.734645e-01          661.9010
    81      3.742533e-01          661.7537
    82      3.749493e-01          663.3642
    83      3.753274e-01          662.2177
    84      3.764940e-01          661.2927
    85      3.771951e-01          661.1843
    86      3.780672e-01          662.2455
    87      3.785852e-01          662.8027
    88      3.787864e-01          662.7874
    89      3.789741e-01          660.4996
    90      3.795619e-01          660.8107
    91      3.806392e-01          663.1414
    92      3.814091e-01          660.4680
    93      3.819716e-01          662.8342
    94      3.827322e-01          661.7886
    95      3.834976e-01          661.3593
    96      3.840274e-01          663.6345
    97      3.850363e-01          660.8132
    98      3.856018e-01          663.4815
    99      3.854522e-01          662.6636
   100      3.864173e-01          663.3455
   101      3.867019e-01          664.0536
   102      3.871268e-01          662.8687
   103      3.879659e-01          664.0148
   104      3.877587e-01          662.8953
   105      3.880683e-01          663.4790
   106      3.892793e-01          663.9702
   107      3.900260e-01          662.8329
   108      3.902737e-01          663.9319
   109      3.905985e-01          664.0773
   110      3.907492e-01          664.8696
   111      3.915028e-01          664.1871
   112      3.922403e-01          662.3736
   113      3.927287e-01          664.0867
   114      3.930539e-01          665.5628
   115      3.934522e-01          663.6489
   116      3.945993e-01          665.1820
   117      3.962925e-01          663.0266
   118      3.964528e-01          663.5244
   119      3.973363e-01          663.2264
   120      3.976590e-01          664.7143
   121      3.976042e-01          665.2296
   122      3.971491e-01          663.7452
   123      3.974628e-01          665.1646
   124      3.985416e-01          667.0401
   125      3.984570e-01          662.9885
   126      3.995774e-01          664.8533
   127      3.996629e-01          665.5422
   128      4.006462e-01          664.6858
   129      4.010082e-01          664.4039
   130      4.012912e-01          665.6143
   131      4.011807e-01          664.5022
   132      4.024395e-01          664.1984
   133      4.034460e-01          662.4971
   134      4.036858e-01          665.9233
   135      4.042249e-01          664.4058
   136      4.048041e-01          664.8770
   137      4.056554e-01          665.3492
   138      4.058504e-01          664.8738
   139      4.061802e-01          665.2687
   140      4.066073e-01          664.5668
   141      4.074736e-01          665.2140
   142      4.081981e-01          665.4855
   143      4.090041e-01          665.3197
   144      4.096131e-01          666.3881
   145      4.099396e-01          664.6971
   146      4.103584e-01          664.4844
   147      4.111492e-01          665.9652
   148      4.107923e-01          666.7363
   149      4.117318e-01          665.3387
   150      4.130426e-01          665.5454
   151      4.129815e-01          665.1707
   152      4.127075e-01          665.7672
   153      4.139125e-01          666.3440
   154      4.145496e-01          666.2413
