============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.005
  process_std       = 0.02
  N_ens             = 100
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      5.676980e-02          761.6456
     1      7.990873e-02          763.4324
     2      9.781037e-02          772.3065
     3      1.140486e-01          770.5618
     4      1.248240e-01          768.8264
     5      1.335805e-01          773.1558
     6      1.485070e-01          777.1885
     7      1.639064e-01          772.7772
     8      1.433062e-01          761.3812
     9      1.508211e-01          761.2805
    10      1.632147e-01          771.4408
    11      1.751908e-01          777.2300
    12      1.849277e-01          771.0391
    13      1.875353e-01          781.6320
    14      1.869786e-01          774.9780
    15      2.013334e-01          771.7776
    16      2.076520e-01          772.2120
    17      2.175001e-01          784.7537
    18      2.245404e-01          780.5134
    19      2.153938e-01          765.0177
    20      2.206583e-01          777.1171
    21      2.242254e-01          775.8515
    22      2.312399e-01          777.6033
    23      2.412494e-01          775.0116
    24      2.465678e-01          776.9330
    25      2.524793e-01          771.3482
    26      2.606888e-01          777.2925
    27      2.709163e-01          773.5388
    28      2.452126e-01          768.3010
    29      2.508513e-01          779.9418
    30      2.595546e-01          778.8602
    31      2.707297e-01          783.4703
    32      2.795875e-01          784.0005
    33      2.893829e-01          780.4816
    34      2.988987e-01          784.0344
    35      3.087723e-01          776.3070
    36      3.170478e-01          777.4102
    37      3.283699e-01          777.0594
    38      3.378866e-01          774.7722
    39      3.454854e-01          768.3146
    40      3.446705e-01          779.1494
    41      3.457703e-01          780.2369
    42      3.482423e-01          780.6240
    43      3.494123e-01          785.3708
    44      3.507740e-01          787.4136
    45      3.521925e-01          789.3853
    46      3.532700e-01          787.5106
    47      3.533231e-01          785.6924
    48      3.542132e-01          783.9685
    49      3.554434e-01          784.2090
    50      3.565659e-01          787.4081
    51      3.574788e-01          784.2141
    52      3.588738e-01          785.7950
    53      3.594030e-01          781.0503
    54      3.602625e-01          784.2902
    55      3.610948e-01          784.5322
    56      3.458862e-01          736.6344
    57      3.380654e-01          767.9421
    58      3.349685e-01          785.0233
    59      3.352163e-01          785.7648
    60      3.364865e-01          787.4705
    61      3.381825e-01          790.0397
    62      3.386760e-01          786.6971
    63      3.393353e-01          787.5758
    64      3.402631e-01          790.0568
    65      3.410924e-01          786.8196
    66      3.417757e-01          785.1236
    67      3.430648e-01          785.4880
    68      3.444776e-01          790.8787
    69      3.456627e-01          787.1091
    70      3.463962e-01          787.1114
    71      3.475117e-01          791.6792
    72      3.491749e-01          785.6288
    73      3.507735e-01          788.8671
    74      3.519311e-01          788.4807
    75      3.524967e-01          784.9468
    76      3.533527e-01          786.1584
    77      3.548321e-01          785.9114
    78      3.560771e-01          787.5187
    79      3.569055e-01          789.6130
    80      3.577160e-01          786.9890
    81      3.587528e-01          784.4772
    82      3.594975e-01          782.9381
    83      3.606207e-01          788.9543
    84      3.618305e-01          789.1231
    85      3.624007e-01          788.6825
    86      3.629118e-01          786.7487
    87      3.636030e-01          783.8551
    88      3.646758e-01          784.7115
    89      3.653775e-01          789.6631
    90      3.656248e-01          781.8325
    91      3.669108e-01          790.6105
    92      3.681481e-01          787.6971
    93      3.687085e-01          793.3125
    94      3.696254e-01          787.4270
    95      3.703474e-01          789.9985
    96      3.708693e-01          782.3597
    97      3.717303e-01          784.0696
    98      3.724852e-01          790.0186
    99      3.730766e-01          782.6340
   100      3.734095e-01          786.7940
   101      3.738100e-01          787.3734
   102      3.743868e-01          787.4370
   103      3.752140e-01          788.8068
   104      3.760234e-01          788.2009
   105      3.770454e-01          784.1121
   106      3.780757e-01          782.1263
   107      3.787650e-01          783.5266
   108      3.799631e-01          780.9833
   109      3.808879e-01          785.1600
   110      3.817099e-01          787.6940
   111      3.824914e-01          784.2348
   112      3.834863e-01          788.0223
   113      3.838011e-01          782.6264
   114      3.846670e-01          784.2339
   115      3.853237e-01          784.5764
   116      3.860081e-01          784.6982
   117      3.865656e-01          786.1459
   118      3.872776e-01          783.7267
   119      3.886110e-01          781.5912
   120      3.894252e-01          787.5988
   121      3.902132e-01          776.9261
   122      3.910247e-01          789.0293
   123      3.919147e-01          784.7742
   124      3.927377e-01          781.3833
   125      3.938676e-01          781.3413
   126      3.947858e-01          783.3347
   127      3.949372e-01          781.9874
   128      3.952055e-01          781.1403
   129      3.962363e-01          785.5773
   130      3.973780e-01          781.1130
   131      3.984019e-01          783.1467
   132      3.989470e-01          785.8426
   133      3.993249e-01          782.6306
   134      4.000044e-01          778.2645
   135      4.007673e-01          776.5306
   136      4.019772e-01          786.7134
   137      4.031674e-01          784.6057
   138      4.039910e-01          780.8973
   139      4.048575e-01          782.4171
   140      4.058881e-01          781.6145
   141      4.065575e-01          785.3464
   142      4.068186e-01          784.2151
   143      4.073586e-01          785.1454
   144      4.084257e-01          783.9781
   145      4.090778e-01          779.5713
   146      4.096649e-01          781.7161
   147      4.102629e-01          776.4487
   148      4.107457e-01          784.2288
   149      4.112970e-01          780.8643
   150      4.117481e-01          779.9984
   151      4.123569e-01          787.6284
   152      4.128329e-01          782.5262
   153      4.133236e-01          783.2371
   154      4.135592e-01          779.5557
