============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.02
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.867329e-01          573.4401
     1      3.879661e-01          697.4036
     2      3.886167e-01          732.4246
     3      3.874489e-01          691.3885
     4      4.109870e-01          725.9954
     5      4.111333e-01          711.7073
     6      4.082997e-01          733.6489
     7      4.211151e-01          739.4886
     8      4.010583e-01          719.9549
     9      4.045332e-01          722.7527
    10      3.960649e-01          705.7032
    11      4.019129e-01          745.7407
    12      3.999672e-01          750.3627
    13      4.055671e-01          744.3984
    14      4.198788e-01          630.8018
    15      4.186535e-01          727.3735
    16      4.209292e-01          737.5488
    17      4.258235e-01          734.0448
    18      4.429960e-01          719.4746
    19      4.374049e-01          692.5311
    20      4.471930e-01          732.8510
    21      4.570740e-01          739.1517
    22      4.615783e-01          732.4022
    23      4.617975e-01          714.1124
    24      4.573289e-01          702.1935
    25      4.814130e-01          733.2420
    26      4.814121e-01          730.7737
    27      4.892551e-01          727.0513
    28      5.056745e-01          716.4766
    29      5.033467e-01          710.9932
    30      5.020398e-01          736.9413
    31      5.120486e-01          744.6635
    32      5.206923e-01          744.8212
    33      5.286924e-01          728.4835
    34      5.153019e-01          727.4865
    35      5.089178e-01          723.2314
    36      5.230837e-01          721.5707
    37      5.316167e-01          723.2259
    38      5.361202e-01          725.5179
    39      5.420588e-01          741.9923
    40      5.376928e-01          743.2352
    41      5.357752e-01          749.5240
    42      5.380080e-01          762.2831
    43      5.376801e-01          748.2218
    44      5.381848e-01          752.8922
    45      5.384648e-01          766.0673
    46      5.398218e-01          764.8325
    47      5.401193e-01          758.7605
    48      5.424927e-01          763.0081
    49      5.423279e-01          755.6171
    50      5.425616e-01          761.1144
    51      5.413918e-01          757.8972
    52      5.407816e-01          754.4546
    53      5.420480e-01          758.1528
    54      5.405341e-01          761.1649
    55      5.413514e-01          758.9739
    56      5.420924e-01          761.2119
    57      5.426098e-01          762.1299
    58      5.431966e-01          756.0424
    59      5.443920e-01          762.3565
    60      5.447057e-01          762.0208
    61      5.466995e-01          748.8982
    62      5.460309e-01          759.6238
    63      5.474940e-01          767.5046
    64      5.473646e-01          766.4658
    65      5.494996e-01          761.1666
    66      5.500011e-01          761.1594
    67      5.494833e-01          763.4965
    68      5.501815e-01          753.3106
    69      5.504423e-01          763.1151
    70      5.532871e-01          763.1478
    71      5.542122e-01          764.6661
    72      5.524948e-01          767.2677
    73      5.529138e-01          758.7520
    74      5.555130e-01          754.6386
    75      5.565288e-01          766.9946
    76      5.572331e-01          762.5166
    77      5.566379e-01          756.9221
    78      5.550743e-01          758.2738
    79      5.561687e-01          766.4059
    80      5.578634e-01          769.9287
    81      5.594985e-01          767.1760
    82      5.586864e-01          765.0203
    83      5.593489e-01          758.8519
    84      5.632269e-01          760.4505
    85      5.640856e-01          767.7531
    86      5.664025e-01          761.8918
    87      5.658472e-01          763.0306
    88      5.665938e-01          765.3681
    89      5.669180e-01          770.9747
    90      5.668530e-01          765.9716
    91      5.673773e-01          764.2813
    92      5.688498e-01          772.3062
    93      5.698433e-01          761.3058
    94      5.716401e-01          763.2673
    95      5.710524e-01          766.7921
    96      5.706491e-01          765.8229
    97      5.711030e-01          755.8266
    98      5.688974e-01          764.3687
    99      5.700547e-01          767.4786
   100      5.733895e-01          762.7604
   101      5.742366e-01          765.5806
   102      5.749157e-01          765.9058
   103      5.760409e-01          761.8550
   104      5.784309e-01          758.4708
   105      5.795835e-01          762.0605
