============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.005
  process_std       = 0.01
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.377903e-01          416.1689
     1      9.394004e-01          456.6471
     2      9.391861e-01          678.6725
     3      9.386215e-01          696.2005
     4      9.375360e-01          723.4249
     5      9.373087e-01          736.4135
     6      9.372765e-01          716.4338
     7      9.376890e-01          712.3532
     8      9.382572e-01          672.9769
     9      9.414282e-01          637.3696
    10      9.480171e-01          663.0994
    11      9.491154e-01          705.9012
    12      9.514246e-01          706.6373
    13      9.527900e-01          539.0150
    14      9.526225e-01          634.5669
    15      9.522861e-01          641.7828
    16      9.527060e-01          682.3120
    17      9.532637e-01          741.8661
    18      9.538899e-01          735.5621
    19      9.541504e-01          736.9067
    20      9.544768e-01          737.9300
    21      9.548674e-01          744.5422
    22      9.552401e-01          745.4930
    23      9.554732e-01          745.5641
    24      9.561683e-01          737.8708
    25      9.569989e-01          745.2039
    26      9.577490e-01          750.6905
    27      9.579946e-01          743.9366
    28      9.582934e-01          748.3984
    29      9.587507e-01          750.4478
    30      9.592552e-01          746.4092
    31      9.596182e-01          742.8238
    32      9.604870e-01          749.2990
    33      9.609363e-01          745.9444
    34      9.625037e-01          752.5128
    35      9.631472e-01          737.9636
    36      9.640338e-01          747.4280
    37      9.646110e-01          751.8856
    38      9.650481e-01          748.3680
    39      9.657535e-01          743.6313
    40      9.657448e-01          762.8486
    41      9.657677e-01          758.8520
    42      9.658143e-01          761.1229
    43      9.658556e-01          760.2583
    44      9.660778e-01          764.1583
    45      9.662733e-01          768.2863
    46      9.662907e-01          766.6132
    47      9.664901e-01          756.6386
    48      9.666018e-01          763.9828
    49      9.667886e-01          765.2761
    50      9.669727e-01          763.0490
    51      9.671736e-01          762.8552
    52      9.672704e-01          760.9893
    53      9.674957e-01          759.6274
    54      9.674311e-01          763.4016
    55      9.677701e-01          757.5977
    56      9.679107e-01          762.8174
    57      9.681346e-01          758.6387
    58      9.682881e-01          760.8536
    59      9.683780e-01          761.7913
    60      9.686334e-01          763.9286
    61      9.687169e-01          760.4588
    62      9.689406e-01          757.2247
    63      9.690894e-01          761.5201
    64      9.692308e-01          767.5941
    65      9.694647e-01          762.4146
    66      9.695556e-01          763.4224
    67      9.695976e-01          757.6312
    68      9.699454e-01          766.3907
    69      9.704093e-01          762.6714
    70      9.706327e-01          758.4799
    71      9.710022e-01          765.3445
    72      9.712266e-01          762.5494
    73      9.713938e-01          762.7649
    74      9.715016e-01          758.9730
    75      9.717378e-01          761.8585
    76      9.719048e-01          761.0314
    77      9.721780e-01          760.3386
    78      9.723319e-01          762.9399
    79      9.723461e-01          761.8512
    80      9.728321e-01          762.5084
    81      9.727915e-01          763.1362
    82      9.730676e-01          760.6144
    83      9.732661e-01          759.2634
    84      9.733940e-01          760.1833
    85      9.736062e-01          765.1353
    86      9.738599e-01          759.0706
    87      9.739963e-01          758.7108
    88      9.741738e-01          762.2121
    89      9.744821e-01          758.7681
    90      9.746800e-01          759.6561
    91      9.750783e-01          765.0573
    92      9.752879e-01          764.1175
    93      9.754927e-01          766.1057
    94      9.757730e-01          761.2113
    95      9.759593e-01          761.6167
    96      9.762708e-01          758.9318
    97      9.765148e-01          759.1863
    98      9.767202e-01          766.0226
    99      9.769979e-01          756.5034
   100      9.772759e-01          763.2378
   101      9.774857e-01          764.3062
   102      9.776479e-01          758.9427
   103      9.780166e-01          764.8112
   104      9.780445e-01          762.1246
   105      9.783524e-01          760.6594
   106      9.786189e-01          760.7690
   107      9.789497e-01          755.9269
   108      9.789985e-01          758.3094
   109      9.793602e-01          759.0053
   110      9.797313e-01          764.5577
   111      9.799393e-01          757.6318
   112      9.802696e-01          763.4834
   113      9.805206e-01          750.8001
   114      9.807290e-01          759.7899
   115      9.808578e-01          762.7245
   116      9.811043e-01          760.7697
   117      9.813744e-01          762.3677
   118      9.816200e-01          756.2639
   119      9.817770e-01          759.0800
   120      9.822242e-01          764.6949
   121      9.826161e-01          754.5021
   122      9.829455e-01          767.2731
   123      9.831830e-01          762.3151
   124      9.832960e-01          757.3229
   125      9.835010e-01          751.7075
   126      9.838451e-01          761.8030
   127      9.841734e-01          756.4638
   128      9.843823e-01          761.2344
   129      9.846812e-01          760.9315
   130      9.849176e-01          760.2736
   131      9.850451e-01          758.7481
   132      9.853123e-01          763.2768
   133      9.855320e-01          758.7125
   134      9.858547e-01          754.9660
   135      9.861869e-01          758.1538
   136      9.863026e-01          764.9396
   137      9.866076e-01          762.5867
   138      9.869197e-01          759.0999
   139      9.870971e-01          762.1893
   140      9.873624e-01          757.3823
   141      9.875535e-01          764.2867
   142      9.880195e-01          762.6320
   143      9.882498e-01          763.8745
   144      9.885147e-01          764.4744
   145      9.884674e-01          757.6557
   146      9.887078e-01          760.6821
   147      9.890115e-01          756.4885
   148      9.893010e-01          759.8801
   149      9.896125e-01          764.3337
   150      9.898995e-01          761.1163
   151      9.901372e-01          765.5031
   152      9.903979e-01          764.7416
   153      9.904819e-01          757.1020
   154      9.908112e-01          759.5792
   155      9.911112e-01          760.5115
   156      9.914100e-01          762.7627
   157      9.915838e-01          760.4493
   158      9.917030e-01          756.8220
   159      9.919636e-01          761.7577
   160      9.922580e-01          767.9855
   161      9.924456e-01          764.2509
   162      9.927135e-01          756.7545
   163      9.929341e-01          759.8495
   164      9.931756e-01          768.0528
   165      9.935171e-01          760.7307
   166      9.936393e-01          761.7288
   167      9.939023e-01          760.4485
   168      9.941146e-01          763.8612
   169      9.943790e-01          758.5919
   170      9.946991e-01          760.2156
   171      9.948984e-01          760.2636
   172      9.952829e-01          758.6005
   173      9.954907e-01          764.8903
   174      9.956692e-01          760.2116
   175      9.959530e-01          761.4166
   176      9.961405e-01          766.7300
   177      9.963234e-01          768.5122
   178      9.965552e-01          759.6558
   179      9.970003e-01          763.7699
   180      9.975427e-01          761.3179
   181      9.979877e-01          763.4816
   182      9.982232e-01          762.1094
   183      9.983789e-01          767.1323
   184      9.985953e-01          761.3539
   185      9.988071e-01          761.5837
   186      9.990879e-01          759.8709
   187      9.993244e-01          766.7745
   188      9.996424e-01          763.7766
   189      1.000023e+00          756.0491
   190      1.000204e+00          755.2959
   191      1.000443e+00          757.5858
   192      1.000785e+00          758.7971
   193      1.001125e+00          760.7571
   194      1.001463e+00          762.7987
   195      1.001665e+00          762.7219
   196      1.001877e+00          757.1422
   197      1.002104e+00          763.9152
   198      1.002420e+00          763.0456
   199      1.002748e+00          761.6833
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 1.002748e+00
  Final  log-likelihood   = 761.6833
  Best   log-likelihood   = 768.5122  (epoch 177)
============================================================
