============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.005
  process_std       = 0.01
  N_ens             = 100
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      1.987569e-02          715.1220
     1      3.620848e-02          726.5395
     2      4.760256e-02          727.2031
     3      5.780707e-02          727.0782
     4      6.834167e-02          728.3364
     5      7.652042e-02          732.1758
     6      8.575745e-02          730.2372
     7      9.239285e-02          723.0885
     8      1.006198e-01          712.8154
     9      1.098091e-01          726.3385
    10      1.185802e-01          730.8740
    11      1.196594e-01          732.6536
    12      1.195486e-01          737.4422
    13      1.283776e-01          749.8508
    14      1.321949e-01          751.5412
    15      1.420941e-01          751.8469
    16      1.500760e-01          755.1035
    17      1.595596e-01          751.0593
    18      1.672495e-01          745.4567
    19      1.755935e-01          743.3622
    20      1.822239e-01          748.4236
    21      1.884634e-01          752.7929
    22      1.913099e-01          747.0350
    23      1.939829e-01          751.0408
    24      1.969740e-01          754.9180
    25      1.985905e-01          752.3132
    26      2.035534e-01          759.3182
    27      2.095423e-01          757.1033
    28      2.167493e-01          764.2849
    29      2.251661e-01          761.7233
    30      2.341037e-01          758.8368
    31      2.413503e-01          764.3737
    32      2.440264e-01          756.5245
    33      2.481786e-01          753.2991
    34      2.507959e-01          758.7227
    35      2.535322e-01          752.0048
    36      2.537684e-01          759.0201
    37      2.591542e-01          760.3102
    38      2.659105e-01          756.4231
    39      2.688123e-01          755.7447
    40      2.695085e-01          770.6646
    41      2.725570e-01          771.4841
    42      2.754231e-01          774.2779
    43      2.812456e-01          755.3557
    44      2.828762e-01          778.0217
    45      2.825944e-01          781.7195
    46      2.891535e-01          737.3940
    47      3.110127e-01          599.7811
    48      3.167043e-01          729.8243
    49      3.153479e-01          741.0656
    50      3.383548e-01          673.7579
    51      3.365597e-01          732.5867
    52      3.355875e-01          722.0112
    53      3.344874e-01          714.5896
    54      3.317295e-01          736.0380
    55      3.361805e-01          728.0987
    56      3.363155e-01          736.2008
    57      3.354122e-01          720.6605
    58      3.362028e-01          732.5966
    59      3.350694e-01          734.7068
    60      3.365218e-01          731.8348
    61      3.354334e-01          732.9648
    62      3.361066e-01          725.8707
    63      3.366672e-01          741.4670
    64      3.367706e-01          736.0675
    65      3.365202e-01          733.0978
    66      3.359366e-01          735.6890
    67      3.333625e-01          730.6176
    68      3.340707e-01          738.8491
    69      3.371734e-01          734.1620
    70      3.380508e-01          738.8907
    71      3.382774e-01          732.4350
    72      3.393949e-01          738.7648
    73      3.391950e-01          738.0478
    74      3.392194e-01          739.0189
    75      3.394949e-01          726.6832
    76      3.392606e-01          732.4915
    77      3.400181e-01          735.5740
    78      3.403104e-01          737.1650
    79      3.396111e-01          744.0179
    80      3.408348e-01          733.1240
    81      3.398288e-01          734.3691
    82      3.402161e-01          737.6989
    83      3.406671e-01          731.2158
    84      3.405051e-01          734.9483
    85      3.402886e-01          739.9866
    86      3.403510e-01          733.3197
    87      3.393778e-01          727.1229
    88      3.393173e-01          738.9940
    89      3.400328e-01          736.1534
    90      3.396579e-01          734.3069
    91      3.402978e-01          742.1316
    92      3.400828e-01          738.0236
    93      3.390557e-01          741.5765
    94      3.402976e-01          729.5026
    95      3.405930e-01          737.6072
    96      3.408661e-01          736.4572
    97      3.404500e-01          730.1636
    98      3.412253e-01          739.8685
    99      3.412767e-01          734.5302
   100      3.409168e-01          732.2557
   101      3.411340e-01          745.4269
   102      3.420032e-01          738.8056
   103      3.421942e-01          743.0098
   104      3.414173e-01          733.3483
   105      3.419200e-01          739.9630
   106      3.424991e-01          735.6919
   107      3.413828e-01          720.1483
   108      3.414950e-01          736.7882
   109      3.420051e-01          731.3520
   110      3.423260e-01          739.6201
   111      3.422276e-01          732.6602
   112      3.420542e-01          741.0925
   113      3.416150e-01          727.5314
   114      3.420269e-01          737.7005
   115      3.421015e-01          743.7649
   116      3.423955e-01          739.4533
   117      3.423615e-01          737.4060
   118      3.424417e-01          730.3755
   119      3.423499e-01          734.6804
   120      3.427393e-01          744.0245
   121      3.428916e-01          729.8296
   122      3.432077e-01          742.7449
   123      3.434055e-01          733.7280
   124      3.433650e-01          735.0731
   125      3.432896e-01          735.0538
   126      3.440780e-01          737.6148
   127      3.439799e-01          735.7191
   128      3.436196e-01          731.7139
   129      3.441091e-01          741.2563
   130      3.440469e-01          738.8574
   131      3.445149e-01          739.7499
   132      3.441702e-01          741.1276
   133      3.444571e-01          737.1013
   134      3.451124e-01          731.1104
   135      3.454413e-01          732.9981
   136      3.455486e-01          743.3755
   137      3.453971e-01          740.5551
   138      3.462508e-01          736.5350
   139      3.460319e-01          738.7186
   140      3.461160e-01          734.9420
   141      3.464269e-01          740.6791
   142      3.465001e-01          735.0290
   143      3.458488e-01          740.2271
   144      3.465278e-01          740.4682
   145      3.473392e-01          736.1866
   146      3.471320e-01          733.6227
   147      3.474829e-01          729.6738
   148      3.466455e-01          734.6025
   149      3.473899e-01          733.9937
   150      3.485096e-01          731.0724
   151      3.481600e-01          740.6011
   152      3.484626e-01          739.5376
   153      3.476219e-01          735.5184
   154      3.481534e-01          736.2163
