============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.5
  lr                = 0.01
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      9.387753e-01          601.3641
     1      9.363448e-01          641.1439
     2      9.294924e-01          651.1640
     3      9.296131e-01          700.4012
     4      9.359810e-01          663.1769
     5      9.335227e-01          677.5825
     6      9.349926e-01          710.1560
     7      9.350496e-01          727.9796
     8      9.341219e-01          718.9308
     9      9.354182e-01          736.7957
    10      9.355459e-01          737.1221
    11      9.362977e-01          737.9211
    12      9.378123e-01          758.4960
    13      9.393855e-01          750.4539
    14      9.466484e-01          721.3119
    15      9.426968e-01          651.2701
    16      9.371248e-01          713.7535
    17      9.358873e-01          748.0344
    18      9.361219e-01          748.3912
    19      9.363675e-01          755.0592
    20      9.378172e-01          750.2902
    21      9.392017e-01          753.7872
    22      9.414820e-01          742.9919
    23      9.416525e-01          706.6409
    24      9.388880e-01          694.5284
    25      9.384880e-01          737.1092
    26      9.380600e-01          748.5319
    27      9.375287e-01          739.0292
    28      9.394688e-01          751.5733
    29      9.403110e-01          743.5117
    30      9.412695e-01          759.1489
    31      9.436316e-01          757.3918
    32      9.454896e-01          739.2802
    33      9.439358e-01          719.9339
    34      9.405639e-01          728.1924
    35      9.406356e-01          740.8888
    36      9.403098e-01          693.3254
    37      9.381071e-01          684.0027
    38      9.373108e-01          730.6490
    39      9.390400e-01          753.0927
    40      9.389862e-01          741.0898
    41      9.392891e-01          741.5516
    42      9.404861e-01          750.0063
    43      9.420013e-01          746.0276
    44      9.429436e-01          739.4404
    45      9.438858e-01          758.2605
    46      9.445977e-01          750.6860
    47      9.455868e-01          753.9169
    48      9.461826e-01          758.6049
    49      9.471622e-01          742.7940
    50      9.480642e-01          749.1245
    51      9.487438e-01          737.3023
    52      9.498939e-01          742.2128
    53      9.507528e-01          739.9302
    54      9.510911e-01          735.7747
    55      9.520154e-01          739.7145
    56      9.534755e-01          742.6807
    57      9.540255e-01          718.5082
    58      9.552160e-01          726.9417
    59      9.544977e-01          720.3566
    60      9.545951e-01          730.9740
    61      9.547555e-01          723.5553
    62      9.554895e-01          733.1493
    63      9.558951e-01          753.6485
    64      9.563246e-01          740.4752
    65      9.567845e-01          746.9744
    66      9.573601e-01          738.6141
    67      9.581555e-01          739.1818
    68      9.586802e-01          738.6843
    69      9.592419e-01          746.8016
    70      9.595640e-01          745.4391
    71      9.605691e-01          748.7874
    72      9.615517e-01          751.3766
    73      9.620857e-01          745.7687
    74      9.635095e-01          719.3392
    75      9.638685e-01          729.9092
    76      9.643974e-01          737.1399
    77      9.640599e-01          729.2910
    78      9.645499e-01          726.5638
    79      9.646892e-01          751.6557
    80      9.646977e-01          745.5291
    81      9.654282e-01          752.7338
    82      9.657459e-01          738.3278
    83      9.662859e-01          746.8832
    84      9.672711e-01          751.1711
    85      9.682899e-01          750.3552
    86      9.690267e-01          741.5582
    87      9.698144e-01          737.9650
    88      9.702358e-01          750.1066
    89      9.705188e-01          744.0234
    90      9.710257e-01          743.8577
    91      9.714736e-01          739.6935
    92      9.719129e-01          747.6694
    93      9.727664e-01          750.0054
    94      9.730279e-01          743.6222
    95      9.734946e-01          734.3398
    96      9.739318e-01          735.9752
    97      9.743235e-01          738.3136
    98      9.745379e-01          716.3018
    99      9.751351e-01          745.4305
   100      9.753433e-01          742.6172
   101      9.759185e-01          743.4310
   102      9.761769e-01          754.2076
   103      9.768418e-01          742.5168
   104      9.772636e-01          743.7086
   105      9.776796e-01          740.8138
   106      9.778525e-01          740.1262
   107      9.783626e-01          757.4957
   108      9.788092e-01          740.4587
   109      9.791601e-01          749.1752
   110      9.794061e-01          739.2277
   111      9.799152e-01          737.4916
   112      9.804239e-01          734.2290
   113      9.809983e-01          751.4744
   114      9.816625e-01          748.5712
   115      9.823436e-01          743.5964
   116      9.831535e-01          748.9498
   117      9.836119e-01          746.1762
   118      9.843658e-01          737.8153
   119      9.847618e-01          742.4464
   120      9.850802e-01          739.7546
   121      9.855759e-01          737.8998
   122      9.858704e-01          750.8361
   123      9.865292e-01          740.1232
   124      9.868122e-01          737.2624
   125      9.872180e-01          744.6667
   126      9.875411e-01          750.4516
   127      9.880187e-01          751.5363
   128      9.883975e-01          742.9785
   129      9.889076e-01          741.6243
   130      9.893258e-01          747.4418
   131      9.895723e-01          751.8254
   132      9.900548e-01          741.3008
   133      9.903920e-01          738.6756
   134      9.908133e-01          745.5000
   135      9.911552e-01          757.0350
   136      9.917148e-01          753.2894
   137      9.923772e-01          737.3776
   138      9.924314e-01          739.7047
   139      9.928952e-01          760.6278
   140      9.934036e-01          740.4556
   141      9.942462e-01          746.3822
   142      9.949510e-01          743.5551
   143      9.956433e-01          746.2112
   144      9.962238e-01          744.8568
   145      9.968153e-01          756.6033
   146      9.972925e-01          736.9431
   147      9.977152e-01          746.7515
   148      9.979696e-01          749.4089
   149      9.982531e-01          754.4018
   150      9.986665e-01          745.4286
   151      9.990990e-01          751.7463
   152      9.995538e-01          748.7421
   153      9.998654e-01          750.4690
   154      1.000383e+00          762.6239
   155      1.000829e+00          738.8699
   156      1.001342e+00          744.5670
   157      1.001850e+00          747.6168
   158      1.002361e+00          763.6859
   159      1.002392e+00          745.1049
   160      1.002965e+00          740.6061
   161      1.003576e+00          752.4821
   162      1.004005e+00          743.6829
   163      1.004761e+00          751.6121
   164      1.005266e+00          749.5909
   165      1.005714e+00          758.0216
   166      1.006329e+00          753.1425
   167      1.007107e+00          755.5315
   168      1.007904e+00          759.0402
   169      1.008492e+00          747.1265
   170      1.009019e+00          754.8594
   171      1.009335e+00          754.5029
   172      1.009517e+00          749.4269
   173      1.009900e+00          754.3295
   174      1.010237e+00          751.7943
   175      1.010725e+00          761.3436
   176      1.011246e+00          752.3765
   177      1.011440e+00          754.5792
   178      1.011951e+00          754.4637
   179      1.012348e+00          755.4777
   180      1.012450e+00          754.0292
   181      1.012833e+00          749.7432
   182      1.013422e+00          749.1763
   183      1.013799e+00          759.8377
   184      1.014085e+00          755.6710
   185      1.014447e+00          753.2244
   186      1.014892e+00          748.3470
   187      1.015196e+00          747.5985
   188      1.015754e+00          754.2359
   189      1.016026e+00          753.5273
   190      1.016547e+00          752.5806
   191      1.016792e+00          761.5343
   192      1.017108e+00          752.5115
   193      1.017595e+00          749.2171
   194      1.018143e+00          755.5171
   195      1.018604e+00          761.3060
   196      1.018854e+00          760.1284
   197      1.019305e+00          766.0305
   198      1.019658e+00          760.2960
   199      1.019763e+00          761.9356
------------------------------------------------------------
Summary
------------------------------------------------------------
  Final  ||θ - θ_true||_2  = 1.019763e+00
  Final  log-likelihood   = 761.9356
  Best   log-likelihood   = 766.0305  (epoch 197)
============================================================
