============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 0.8
  lr                = 0.02
  process_std       = 0.02
  N_ens             = 50
  epochs            = 200
  chunk_length      = 20
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.821223e-01          518.0253
     1      3.756991e-01          643.6799
     2      3.757665e-01          706.8707
     3      3.741997e-01          760.4872
     4      3.723466e-01          766.9755
     5      3.769279e-01          756.4024
     6      3.771130e-01          748.8818
     7      3.717817e-01          762.8096
     8      3.758775e-01          765.9819
     9      3.851106e-01          770.4414
    10      3.992116e-01          661.3156
    11      3.971017e-01          705.6053
    12      4.096937e-01          728.1266
    13      4.038351e-01          734.8264
    14      4.306863e-01          704.7888
    15      4.183182e-01          719.5980
    16      4.242071e-01          750.5652
    17      4.090381e-01          728.2832
    18      3.970507e-01          739.9977
    19      4.060630e-01          749.5037
    20      4.151920e-01          741.0825
    21      4.178621e-01          742.1656
    22      4.131542e-01          723.0412
    23      4.302380e-01          701.3615
    24      4.215637e-01          724.9673
    25      4.308542e-01          726.2615
    26      4.284742e-01          709.0704
    27      4.265099e-01          674.1173
    28      4.190868e-01          695.9534
    29      4.223611e-01          718.4901
    30      4.310696e-01          740.1953
    31      4.377921e-01          752.4728
    32      4.493886e-01          749.9327
    33      4.592903e-01          706.0051
    34      4.582529e-01          654.8911
    35      4.571595e-01          689.9261
    36      4.492566e-01          695.5820
    37      4.462998e-01          715.4275
    38      4.481173e-01          740.6307
    39      4.557537e-01          759.2991
    40      4.540008e-01          754.8123
    41      4.523394e-01          755.0620
    42      4.545905e-01          761.1644
    43      4.548846e-01          758.0165
    44      4.549105e-01          757.2015
    45      4.554671e-01          769.3308
    46      4.562316e-01          766.0463
    47      4.580674e-01          764.8507
    48      4.591273e-01          767.0033
    49      4.607406e-01          760.2478
    50      4.619698e-01          766.4743
    51      4.610879e-01          765.8599
    52      4.621235e-01          761.9662
    53      4.627748e-01          761.5477
    54      4.635051e-01          768.2696
    55      4.648449e-01          763.7672
    56      4.658359e-01          767.1495
    57      4.664273e-01          765.4551
    58      4.676199e-01          762.6843
    59      4.690179e-01          767.0082
    60      4.703305e-01          764.8536
    61      4.708546e-01          756.1717
    62      4.716034e-01          766.9401
    63      4.722920e-01          770.7659
    64      4.732041e-01          768.2982
    65      4.752537e-01          766.3267
    66      4.763152e-01          766.1515
    67      4.771816e-01          769.2526
    68      4.787087e-01          759.5242
    69      4.794212e-01          766.6735
    70      4.810959e-01          766.5693
    71      4.823757e-01          765.6356
    72      4.822315e-01          771.6465
    73      4.827283e-01          764.9971
    74      4.844507e-01          756.0711
    75      4.857994e-01          769.1384
    76      4.866970e-01          767.0966
    77      4.868448e-01          763.3080
    78      4.871975e-01          764.0031
    79      4.878871e-01          770.2626
    80      4.892529e-01          773.1833
    81      4.909905e-01          769.8610
    82      4.911102e-01          767.9802
    83      4.911379e-01          763.0848
    84      4.944134e-01          765.1163
    85      4.956049e-01          772.0818
    86      4.973912e-01          761.6387
    87      4.981556e-01          768.8876
    88      4.988358e-01          766.9139
    89      4.998159e-01          773.5726
    90      5.000240e-01          769.1133
    91      4.996256e-01          768.2661
    92      5.011385e-01          773.7232
    93      5.024415e-01          765.0385
    94      5.043075e-01          767.7147
    95      5.041923e-01          769.1276
    96      5.042742e-01          768.0410
    97      5.048028e-01          756.4839
    98      5.037077e-01          766.5464
    99      5.049981e-01          769.5210
   100      5.066903e-01          762.1967
   101      5.086611e-01          769.0243
   102      5.098597e-01          768.8865
   103      5.115970e-01          765.3613
   104      5.131177e-01          761.3302
   105      5.143567e-01          763.8353
